i,j,k,flop,flop-ref
256,256,256,3.56,25.27
512,512,512,3.82,31.30
768,768,768,4.41,40.75
1024,1024,1024,4.83,41.47
1280,1280,1280,5.63,42.83
1536,1536,1536,4.88,42.24
1792,1792,1792,5.44,43.10
2048,2048,2048,3.60,41.92
2304,2304,2304,2.92,43.23
2560,2560,2560,2.57,42.29
2816,2816,2816,2.48,43.37
3072,3072,3072,2.45,42.44
3328,3328,3328,2.47,43.32
3584,3584,3584,2.47,39.59
3840,3840,3840,2.47,43.55
4096,4096,4096,2.48,38.95
4352,4352,4352,2.34,40.68
4608,4608,4608,2.34,40.40
4864,4864,4864,2.35,40.70
5120,5120,5120,2.33,40.20
