Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,1.157518124999999998e+01,4.741455078125000194e-02,1.162259580078124976e+01,1.038090957031250028e+01,7.244531250000000103e-03,1.038815419921875005e+01,1.040379443359375067e+01,7.160156249999999637e-04,1.040451044921874946e+01
5.120000000000000000e+02,1.440022578125000052e+01,2.961542968750000004e-02,1.442984111328125074e+01,1.444510439453124917e+01,1.550878906250000066e-03,1.444665527343750000e+01,1.445476474609374939e+01,1.313476562500000082e-04,1.445489609374999951e+01
7.680000000000000000e+02,1.703635410156250174e+01,2.939453125000000139e-02,1.706574863281250032e+01,1.703872285156250044e+01,6.011132812500000200e-03,1.704473388671874901e+01,1.720262441406250176e+01,2.836523437499999852e-03,1.720546093749999983e+01
1.024000000000000000e+03,1.871723847656249973e+01,2.055517578125000064e-02,1.873779365234375049e+01,1.872114355468750091e+01,1.384960937499999907e-03,1.872252851562500098e+01,1.873341523437499845e+01,1.162050781249999998e-02,1.874503564453124937e+01
1.280000000000000000e+03,2.187117167968749953e+01,2.091972656250000104e-02,2.189209140624999961e+01,2.186658330078125090e+01,1.836621093750000037e-03,2.186841992187499883e+01,2.188224414062500145e+01,2.592675781249999950e-02,2.190817089843750054e+01
1.536000000000000000e+03,1.907545849609374855e+01,1.752216796874999857e-02,1.909298066406250172e+01,1.907353974609375058e+01,2.288671874999999908e-03,1.907582851562499826e+01,1.908788417968749940e+01,1.841484374999999979e-02,1.910629902343750075e+01
1.792000000000000000e+03,2.135871943359374825e+01,7.908173828124999416e-02,2.143780117187500167e+01,2.131957021484375048e+01,1.103144531250000067e-02,2.133060166015625114e+01,2.133394453125000112e+01,1.705390625000000049e-02,2.135099843749999948e+01
2.048000000000000000e+03,1.469421259765625010e+01,4.167000976562499903e-01,1.511091269531249992e+01,1.426901962890624986e+01,2.757285156250000036e-02,1.429659257812500073e+01,1.428249472656250063e+01,1.172636718749999959e-02,1.429422109375000005e+01
2.304000000000000000e+03,1.858577958984374945e+01,7.063330761718749962e+00,2.564911035156249852e+01,1.152098945312500078e+01,7.810341796875000520e-02,1.159909287109375065e+01,1.159230976562500004e+01,8.770898437500000699e-03,1.160108066406250060e+01
2.560000000000000000e+03,1.998016738281249971e+01,9.862016601562499929e+00,2.984218398437500142e+01,9.978705859374999321e+00,5.371484374999999957e-03,9.984077343750000111e+00,1.011650156249999988e+01,8.082324218750000858e-03,1.012458388671874943e+01
2.816000000000000000e+03,1.948646171875000022e+01,9.693813867187499156e+00,2.918027558593750115e+01,9.631459472656249687e+00,4.418261718750000205e-03,9.635877734375000614e+00,9.775520507812499815e+00,6.216992187500000079e-03,9.781737500000000196e+00
3.072000000000000000e+03,1.923589619140625118e+01,9.573458691406250054e+00,2.880935488281249945e+01,9.503107226562500287e+00,4.444628906250000337e-03,9.507551855468749480e+00,9.652629003906250560e+00,6.489355468750000223e-03,9.659118359375000296e+00
3.328000000000000000e+03,1.937747226562499847e+01,9.657775878906250000e+00,2.903524814453124847e+01,9.567600097656249858e+00,4.191601562500000232e-03,9.571791699218749727e+00,9.719378515624999437e+00,5.632714843750000026e-03,9.725011132812500847e+00
3.584000000000000000e+03,1.930012470703125160e+01,9.610443457031250247e+00,2.891056816406250007e+01,9.537340234374999781e+00,1.601914062500000083e-02,9.553359374999999432e+00,9.892640625000000298e+00,2.685078125000000052e-02,9.919491308593750389e+00
3.840000000000000000e+03,1.931528925781249839e+01,9.630536718749999281e+00,2.894582597656249945e+01,9.540913378906250131e+00,6.376953125000000243e-03,9.547290332031250770e+00,9.760841601562500358e+00,1.013876953124999945e-02,9.770980468750000369e+00
4.096000000000000000e+03,1.945484316406249903e+01,9.699395312500000088e+00,2.915423847656250089e+01,9.626411718749999125e+00,3.845800781249999935e-03,9.630257617187499619e+00,9.789726269531250580e+00,8.556738281250000216e-03,9.798282910156249415e+00
4.352000000000000000e+03,1.830341718749999913e+01,9.115091699218750065e+00,2.741850888671875097e+01,9.040832617187499309e+00,1.395498046874999939e-02,9.054787597656250853e+00,9.515938183593750210e+00,3.998056640625000102e-02,9.555918652343750708e+00
4.608000000000000000e+03,1.834573007812500123e+01,9.127577050781249923e+00,2.747330722656250046e+01,9.069143457031250577e+00,1.407666015625000031e-02,9.083220117187499554e+00,9.509652441406249324e+00,3.851123046874999761e-02,9.548163671875000702e+00
4.864000000000000000e+03,1.836980556640624940e+01,9.153307910156250671e+00,2.752311337890624898e+01,9.081652050781249486e+00,1.462099609374999977e-02,9.096273144531249244e+00,9.540112109375000315e+00,3.718066406250000039e-02,9.577292773437500628e+00
5.120000000000000000e+03,1.826260585937500025e+01,9.099079492187499341e+00,2.736168535156249959e+01,9.042072949218750821e+00,1.381298828125000072e-02,9.055885937499999372e+00,9.471478613281249181e+00,3.848681640624999900e-02,9.509965429687499139e+00
