Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,4.304000000000000270e+00,1.813333333333333117e-02,4.322133333333333383e+00,3.860266666666666513e+00,3.199999999999999720e-03,3.862399999999999611e+00,3.868800000000000239e+00,2.666666666666666794e-04,3.868800000000000239e+00
5.120000000000000000e+02,4.302399999999999558e+00,8.800000000000000530e-03,4.311200000000000365e+00,4.315733333333333199e+00,3.999999999999999650e-04,4.316266666666666474e+00,4.318666666666666210e+00,3.866666666666666689e-05,4.318666666666666210e+00
7.680000000000000000e+02,4.309846913580247296e+00,7.427160493827160946e-03,4.317274074074074264e+00,4.310439506172839330e+00,1.501234567901234664e-03,4.311940740740740630e+00,4.351920987654320783e+00,7.111111111111111452e-04,4.352632098765432112e+00
1.024000000000000000e+03,4.304850000000000065e+00,4.733333333333333316e-03,4.309566666666666102e+00,4.305749999999999744e+00,3.166666666666666480e-04,4.306066666666667153e+00,4.308566666666666656e+00,2.666666666666666578e-03,4.311233333333333029e+00
1.280000000000000000e+03,4.305681066666666723e+00,4.121600000000000437e-03,4.309802666666666227e+00,4.304785066666666715e+00,3.583999999999999838e-04,4.305143466666666363e+00,4.307865599999999517e+00,5.102933333333333626e-03,4.312968533333333632e+00
1.536000000000000000e+03,4.304602469135802245e+00,3.955555555555555908e-03,4.308558024691357957e+00,4.304167901234568383e+00,5.185185185185185253e-04,4.304686419753086746e+00,4.307407407407406907e+00,4.153086419753085866e-03,4.311560493827160556e+00
1.792000000000000000e+03,4.325995724003886878e+00,1.601865889212827909e-02,4.342014382896015157e+00,4.318068804664723537e+00,2.232847424684159410e-03,4.320301652089407085e+00,4.320979591836734635e+00,3.455004859086491849e-03,4.324434596695821753e+00
2.048000000000000000e+03,4.489572916666666913e+00,1.273166666666666613e-01,4.616889583333333213e+00,4.359662499999999774e+00,8.425000000000000197e-03,4.368087500000000567e+00,4.363779166666666320e+00,3.583333333333332902e-03,4.367362499999999592e+00
2.304000000000000000e+03,7.012237402834933242e+00,2.664926931870141846e+00,9.677165797896661203e+00,4.346760310928211801e+00,2.946721536351165974e-02,4.376227526291724068e+00,4.373668404206675575e+00,3.309739368998628438e-03,4.376976680384087715e+00
2.560000000000000000e+03,8.578662400000000687e+00,4.234344533333333160e+00,1.281300693333333207e+01,4.284445866666667158e+00,2.306133333333333299e-03,4.286751999999999896e+00,4.343609599999999737e+00,3.469866666666666585e-03,4.347080533333333108e+00
2.816000000000000000e+03,8.633019784623090942e+00,4.294617180065113615e+00,1.292763696468820456e+01,4.266992036063110838e+00,1.957024793388429957e-03,4.268949862258953232e+00,4.330814926120710950e+00,2.754420235411970778e-03,4.333569346356123120e+00
3.072000000000000000e+03,8.644843209876542645e+00,4.302427777777777962e+00,1.294727098765432061e+01,4.270811111111110669e+00,1.997530864197530776e-03,4.272808024691357787e+00,4.338008024691357711e+00,2.916666666666666366e-03,4.340924074074074213e+00
3.328000000000000000e+03,8.636786891215294304e+00,4.304593779396146402e+00,1.294138067061143893e+01,4.264401274465179803e+00,1.868244575936883495e-03,4.266269519041117064e+00,4.332050857229555518e+00,2.510575026551358033e-03,4.334561432256107238e+00
3.584000000000000000e+03,8.641156851311954767e+00,4.302840038872692396e+00,1.294399689018464450e+01,4.270110009718172783e+00,7.172011661807579930e-03,4.277282021379980037e+00,4.429186783284742468e+00,1.202176870748299271e-02,4.441208551992225750e+00
3.840000000000000000e+03,8.630943604938272173e+00,4.303358735802468971e+00,1.293430234074074114e+01,4.263310854320987886e+00,2.849501234567901071e-03,4.266160355555555839e+00,4.361584829629629567e+00,4.530567901234567978e-03,4.366115397530864861e+00
4.096000000000000000e+03,8.631361718750000023e+00,4.303246614583333240e+00,1.293460833333333504e+01,4.270866666666666589e+00,1.706250000000000084e-03,4.272572916666666387e+00,4.343322916666666700e+00,3.796354166666666627e-03,4.347119270833332827e+00
4.352000000000000000e+03,8.631366144243164840e+00,4.298415686274509540e+00,1.292978161340660748e+01,4.263397191125585017e+00,6.580853517877739180e-03,4.269977827532397185e+00,4.487443218671551826e+00,1.885370784992197388e-02,4.506296926521473623e+00
4.608000000000000000e+03,8.639318701417465718e+00,4.298332510288065400e+00,1.293765121170553201e+01,4.270815180612712147e+00,6.628989483310470700e-03,4.277443987197074193e+00,4.478258253315043902e+00,1.813552812071330539e-02,4.496393964334705728e+00
4.864000000000000000e+03,8.625454050639062231e+00,4.297891743208436921e+00,1.292334579384749915e+01,4.264246100014579710e+00,6.865296204500170169e-03,4.271111396219079204e+00,4.479513864994896899e+00,1.745793847499635745e-02,4.496971803469893558e+00
5.120000000000000000e+03,8.625484799999998842e+00,4.297523200000000543e+00,1.292300799999999938e+01,4.270598800000000139e+00,6.523866666666666876e-03,4.277122799999999891e+00,4.473408400000000285e+00,1.817746666666666608e-02,4.491585866666667037e+00
