Dimensions, Time, Time ratio, Time (exp), Time ratio (exp)
2.560000000000000000e+02,3.400000000000000244e-02,nan,3.400000000000000244e-02,1.003906250000000000e+00
5.120000000000000000e+02,2.187999999999999945e-01,6.435294117647058165e+00,3.406640625000000033e-02,1.001953125000000000e+00
7.680000000000000000e+02,6.252999999999999670e-01,2.857861060329067726e+00,3.411076354980468323e-02,1.001302083333333259e+00
1.024000000000000000e+03,1.347599999999999909e+00,2.155125539740924356e+00,3.414407484233378948e-02,1.000976562500000000e+00
1.280000000000000000e+03,2.252899999999999903e+00,1.671786880379934725e+00,3.417074990080436192e-02,1.000781249999999956e+00
1.536000000000000000e+03,4.462600000000000122e+00,1.980824714812020160e+00,3.419299648277103476e-02,1.000651041666666741e+00
1.792000000000000000e+03,6.360299999999999621e+00,1.425245372652713449e+00,3.421207739598686876e-02,1.000558035714285809e+00
2.048000000000000000e+03,1.432189999999999941e+01,2.251764853859094639e+00,3.422878251190288046e-02,1.000488281250000000e+00
2.304000000000000000e+03,2.518110000000000070e+01,1.758223420076945320e+00,3.424363875431255672e-02,1.000434027777777679e+00
2.560000000000000000e+03,3.930899999999999750e+01,1.561051741186842312e+00,3.425701517570096249e-02,1.000390625000000089e+00
2.816000000000000000e+03,5.398579999999999757e+01,1.373369966165509215e+00,3.426918030893096739e-02,1.000355113636363535e+00
3.072000000000000000e+03,7.109839999999999804e+01,1.316983354882209856e+00,3.428033564106278130e-02,1.000325520833333259e+00
3.328000000000000000e+03,8.965130000000000621e+01,1.260946800490587716e+00,3.429063622268570255e-02,1.000300480769230838e+00
3.584000000000000000e+03,1.124779000000000053e+02,1.254615382041308846e+00,3.430020392252462053e-02,1.000279017857142794e+00
3.840000000000000000e+03,1.380708999999999946e+02,1.227538031915602845e+00,3.430913626729611282e-02,1.000260416666666652e+00
4.096000000000000000e+03,1.663729999999999905e+02,1.204982367754537709e+00,3.431751252126762075e-02,1.000244140625000000e+00
4.352000000000000000e+03,2.121120999999999981e+02,1.274919007290846507e+00,3.432539797910798274e-02,1.000229779411764719e+00
4.608000000000000000e+03,2.514394000000000062e+02,1.185408093173373922e+00,3.433284706721108359e-02,1.000217013888888840e+00
4.864000000000000000e+03,2.948557000000000130e+02,1.172671029281806998e+00,3.433990562951930864e-02,1.000205592105263053e+00
5.120000000000000000e+03,3.459250999999999863e+02,1.173201332041401868e+00,3.434661264233757755e-02,1.000195312500000044e+00
