Dimensions, CPI, IPC
2.560000000000000000e+02,7.448000000000000176e-01,1.342642320085928986e+00
5.120000000000000000e+02,7.708000000000000407e-01,1.297353399065905410e+00
7.680000000000000000e+02,6.586999999999999522e-01,1.518141794443601089e+00
1.024000000000000000e+03,7.459999999999999964e-01,1.340482573726541560e+00
1.280000000000000000e+03,6.412999999999999812e-01,1.559332605644784042e+00
1.536000000000000000e+03,7.374000000000000554e-01,1.356116083536750727e+00
1.792000000000000000e+03,6.629000000000000448e-01,1.508523155830441942e+00
2.048000000000000000e+03,1.000499999999999945e+00,9.995002498750624742e-01
2.304000000000000000e+03,1.237000000000000099e+00,8.084074373484235743e-01
2.560000000000000000e+03,1.407999999999999918e+00,7.102272727272728181e-01
2.816000000000000000e+03,1.456199999999999939e+00,6.867188572998215168e-01
3.072000000000000000e+03,1.477300000000000058e+00,6.769105801123671551e-01
3.328000000000000000e+03,1.466399999999999926e+00,6.819421713038734678e-01
3.584000000000000000e+03,1.443699999999999983e+00,6.926646810279143418e-01
3.840000000000000000e+03,1.465000000000000080e+00,6.825938566552900433e-01
4.096000000000000000e+03,1.459500000000000020e+00,6.851661527920520633e-01
4.352000000000000000e+03,1.446800000000000086e+00,6.911805363560962201e-01
4.608000000000000000e+03,1.448099999999999943e+00,6.905600441958428259e-01
4.864000000000000000e+03,1.444700000000000095e+00,6.921852287672181081e-01
5.120000000000000000e+03,1.456299999999999928e+00,6.866717022591499742e-01
