Dimensions, Time, Time ratio, Time (exp), Time ratio (exp)
2.560000000000000000e+02,1.050000000000000065e-02,nan,1.050000000000000065e-02,1.003906250000000000e+00
5.120000000000000000e+02,4.479999999999999954e-02,4.266666666666666607e+00,1.052050781250000143e-02,1.001953125000000000e+00
7.680000000000000000e+02,1.156999999999999973e-01,2.582589285714285587e+00,1.053420639038086040e-02,1.001302083333333259e+00
1.024000000000000000e+03,2.237999999999999989e-01,1.934312878133102931e+00,1.054449370130896603e-02,1.000976562500000000e+00
1.280000000000000000e+03,3.788000000000000256e-01,1.692582663092046635e+00,1.055273158701311269e-02,1.000781249999999956e+00
1.536000000000000000e+03,6.258000000000000229e-01,1.652059134107708438e+00,1.055960185497340810e-02,1.000651041666666741e+00
1.792000000000000000e+03,9.834000000000000519e-01,1.571428571428571397e+00,1.056549448993712205e-02,1.000558035714285809e+00
2.048000000000000000e+03,2.566199999999999815e+00,2.609517998779743220e+00,1.057065342279353733e-02,1.000488281250000000e+00
2.304000000000000000e+03,4.487300000000000288e+00,1.748616631595355297e+00,1.057524138000828957e-02,1.000434027777777679e+00
2.560000000000000000e+03,7.224899999999999878e+00,1.610077329351725872e+00,1.057937233367235545e-02,1.000390625000000089e+00
2.816000000000000000e+03,9.993100000000000094e+00,1.383147171587149948e+00,1.058312921305220970e-02,1.000355113636363535e+00
3.072000000000000000e+03,1.296100000000000030e+01,1.296994926499284606e+00,1.058657424209291653e-02,1.000325520833333259e+00
3.328000000000000000e+03,1.647919999999999874e+01,1.271445104544402405e+00,1.058975530406469981e-02,1.000300480769230838e+00
3.584000000000000000e+03,2.053960000000000008e+01,1.246395456090101606e+00,1.059271003489730724e-02,1.000279017857142794e+00
3.840000000000000000e+03,2.517940000000000111e+01,1.225895343628892631e+00,1.059546855313556191e-02,1.000260416666666652e+00
4.096000000000000000e+03,3.069200000000000017e+01,1.218932937242348746e+00,1.059805533745029199e-02,1.000244140625000000e+00
4.352000000000000000e+03,3.421159999999999712e+01,1.114674833832920431e+00,1.060049055237158137e-02,1.000229779411764719e+00
4.608000000000000000e+03,3.799150000000000205e+01,1.110485917057372429e+00,1.060279100605048160e-02,1.000217013888888840e+00
4.864000000000000000e+03,4.269469999999999743e+01,1.123796112288274918e+00,1.060497085617508051e-02,1.000205592105263053e+00
5.120000000000000000e+03,5.243130000000000024e+01,1.228051725389802451e+00,1.060704213954542785e-02,1.000195312500000044e+00
