Dimensions, All, L1, L2, MEM
2.560000000000000000e+02,1.455059999999999931e+01,9.605299999999999727e+00,1.041900000000000048e+01,1.115920000000000023e+01
5.120000000000000000e+02,3.224179999999999779e+01,3.001800000000000068e+01,3.143939999999999912e+01,3.165599999999999881e+01
7.680000000000000000e+02,2.390399999999999991e+01,2.151490000000000080e+01,2.289649999999999963e+01,2.352990000000000137e+01
1.024000000000000000e+03,2.386939999999999884e+01,2.160140000000000171e+01,2.279449999999999932e+01,2.370380000000000109e+01
1.280000000000000000e+03,1.792010000000000147e+01,1.531859999999999999e+01,1.649749999999999872e+01,1.775870000000000104e+01
1.536000000000000000e+03,1.664930000000000021e+01,1.391319999999999979e+01,1.499890000000000079e+01,1.647950000000000159e+01
1.792000000000000000e+03,2.735739999999999839e+01,2.487239999999999895e+01,2.584919999999999973e+01,2.708680000000000021e+01
2.048000000000000000e+03,4.692560000000000286e+01,4.538060000000000116e+01,4.666819999999999879e+01,4.660419999999999874e+01
2.304000000000000000e+03,5.192219999999999658e+01,5.075909999999999656e+01,5.182309999999999661e+01,5.161789999999999878e+01
2.560000000000000000e+03,5.633670000000000044e+01,5.553829999999999956e+01,5.624739999999999895e+01,5.609830000000000183e+01
2.816000000000000000e+03,5.794429999999999836e+01,5.722209999999999752e+01,5.787919999999999732e+01,5.769950000000000045e+01
3.072000000000000000e+03,5.809049999999999869e+01,5.743589999999999662e+01,5.803620000000000090e+01,5.793160000000000309e+01
3.328000000000000000e+03,5.801720000000000255e+01,5.738459999999999894e+01,5.797140000000000271e+01,5.786110000000000042e+01
3.584000000000000000e+03,5.804180000000000206e+01,5.732809999999999917e+01,5.797359999999999758e+01,5.779690000000000083e+01
3.840000000000000000e+03,5.816989999999999839e+01,5.751520000000000010e+01,5.811370000000000147e+01,5.800269999999999726e+01
4.096000000000000000e+03,5.797469999999999857e+01,5.733330000000000126e+01,5.791729999999999734e+01,5.780579999999999785e+01
4.352000000000000000e+03,5.597630000000000194e+01,5.520329999999999870e+01,5.586390000000000100e+01,5.573429999999999751e+01
4.608000000000000000e+03,5.417560000000000286e+01,5.333610000000000184e+01,5.399069999999999681e+01,5.401950000000000074e+01
4.864000000000000000e+03,5.277550000000000097e+01,5.182930000000000348e+01,5.253810000000000002e+01,5.261129999999999995e+01
5.120000000000000000e+03,5.481960000000000122e+01,5.392490000000000094e+01,5.468880000000000052e+01,5.463559999999999661e+01
