Dimensions, CPI, IPC
2.560000000000000000e+02,3.759000000000000119e-01,2.660281989890928234e+00
5.120000000000000000e+02,5.505999999999999783e-01,1.816200508536142566e+00
7.680000000000000000e+02,4.490999999999999992e-01,2.226675573368960048e+00
1.024000000000000000e+03,4.177000000000000157e-01,2.394062724443380308e+00
1.280000000000000000e+03,4.007999999999999896e-01,2.495009980039920361e+00
1.536000000000000000e+03,3.856999999999999873e-01,2.592688618096966824e+00
1.792000000000000000e+03,3.862999999999999767e-01,2.588661661920787171e+00
2.048000000000000000e+03,6.882000000000000339e-01,1.453065969195001417e+00
2.304000000000000000e+03,8.511999999999999567e-01,1.174812030075188085e+00
2.560000000000000000e+03,1.003500000000000059e+00,9.965122072745390414e-01
2.816000000000000000e+03,1.043299999999999894e+00,9.584970765839164741e-01
3.072000000000000000e+03,1.046300000000000008e+00,9.557488292076842251e-01
3.328000000000000000e+03,1.046200000000000019e+00,9.558401835213151676e-01
3.584000000000000000e+03,1.044999999999999929e+00,9.569377990430623093e-01
3.840000000000000000e+03,1.042999999999999927e+00,9.587727708533078097e-01
4.096000000000000000e+03,1.044300000000000006e+00,9.575792396820836938e-01
4.352000000000000000e+03,9.710999999999999632e-01,1.029760065904644195e+00
4.608000000000000000e+03,9.102000000000000091e-01,1.098659635245001098e+00
4.864000000000000000e+03,8.702999999999999625e-01,1.149029070435481970e+00
5.120000000000000000e+03,9.173000000000000043e-01,1.090155892292597795e+00
