Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,8.650666666666667615e-01,3.306666666666666782e-02,8.991999999999999993e-01,7.381333333333333080e-01,2.880000000000000268e-02,7.669333333333333558e-01,7.370666666666666478e-01,1.600000000000000033e-02,7.530666666666666620e-01
5.120000000000000000e+02,1.326799999999999979e+00,2.506666666666666765e-02,1.351866666666666772e+00,7.752000000000000002e-01,1.826666666666666716e-02,7.934666666666666535e-01,7.701333333333333364e-01,4.666666666666667053e-03,7.749333333333333629e-01
7.680000000000000000e+02,1.297224691358024540e+00,1.821234567901234766e-02,1.315437037037036960e+00,7.551999999999999824e-01,1.374814814814814649e-02,7.689481481481481584e-01,7.503802469135801845e-01,5.412345679012346179e-03,7.557925925925925714e-01
1.024000000000000000e+03,1.291366666666666552e+00,1.481666666666666722e-02,1.306166666666666698e+00,7.501666666666667593e-01,1.146666666666666667e-02,7.616333333333332734e-01,7.454666666666667219e-01,1.234999999999999987e-02,7.578166666666666940e-01
1.280000000000000000e+03,1.284983466666666629e+00,1.207466666666666584e-02,1.297058133333333307e+00,7.453440000000000065e-01,9.685333333333333988e-03,7.550293333333334411e-01,7.408298666666666143e-01,1.126399999999999971e-02,7.520853333333332724e-01
1.536000000000000000e+03,1.277229629629629715e+00,1.010370370370370328e-02,1.287333333333333441e+00,7.426271604938271542e-01,8.177777777777776869e-03,7.508049382716048825e-01,7.402666666666666284e-01,9.758024691358025207e-03,7.500246913580247421e-01
1.792000000000000000e+03,1.274430320699708297e+00,8.751020408163265318e-03,1.283181341107871853e+00,7.434635568513119352e-01,7.084159378036929480e-03,7.505477162293487936e-01,7.406211856171039942e-01,8.362293488824100798e-03,7.489865889212827810e-01
2.048000000000000000e+03,1.273741666666666772e+00,7.718749999999999917e-03,1.281460416666666768e+00,7.500562499999999799e-01,6.260416666666666734e-03,7.563166666666666371e-01,7.469958333333334144e-01,7.308333333333333348e-03,7.543041666666666645e-01
2.304000000000000000e+03,1.268376406035665260e+00,6.915043438500229241e-03,1.275291449474165395e+00,8.960395061728395616e-01,5.662551440329218443e-03,9.017020576131687948e-01,8.966101508916324292e-01,6.457064471879286720e-03,9.030686785550983142e-01
2.560000000000000000e+03,1.267987200000000092e+00,6.264533333333334106e-03,1.274251733333333414e+00,1.154086399999999957e+00,5.384533333333333532e-03,1.159470933333333287e+00,1.157622399999999940e+00,5.683200000000000231e-03,1.163305599999999940e+00
2.816000000000000000e+03,1.267382719759579279e+00,5.703581267217630937e-03,1.273086301026796985e+00,1.252762734785875409e+00,5.645880290508389736e-03,1.258408615076383796e+00,1.257744252441773236e+00,5.244377660906586122e-03,1.262988630102679588e+00
3.072000000000000000e+03,1.264698148148148071e+00,5.255555555555555848e-03,1.269953703703703640e+00,1.262643827160493837e+00,5.214197530864197495e-03,1.267858024691357999e+00,1.267168518518518416e+00,4.676543209876543247e-03,1.271845679012345576e+00
3.328000000000000000e+03,1.264358306781975472e+00,4.868214231527840351e-03,1.269226521013503195e+00,1.262046305568198967e+00,4.843938704293734333e-03,1.266890244272492749e+00,1.267714155666818554e+00,4.376877560309512701e-03,1.272090547716583142e+00
3.584000000000000000e+03,1.264366958211856184e+00,4.511953352769679758e-03,1.268878911564625955e+00,1.261944800777453635e+00,4.483187560738581025e-03,1.266427599611273047e+00,1.266731972789115757e+00,3.988338192419824992e-03,1.270720310981535484e+00
3.840000000000000000e+03,1.262220325925925923e+00,4.224948148148148334e-03,1.266445274074074145e+00,1.261868879012345568e+00,4.206301234567901524e-03,1.266075180246913678e+00,1.267797965432098772e+00,3.769520987654321337e-03,1.271567170370370370e+00
4.096000000000000000e+03,1.264602083333333349e+00,6.062760416666666818e-03,1.270664843749999884e+00,1.261503385416666623e+00,5.888281249999999419e-03,1.267391666666666694e+00,1.266858593750000095e+00,5.648958333333333089e-03,1.272507552083333326e+00
4.352000000000000000e+03,1.244260696112355014e+00,6.051536739263179907e-03,1.250312015740552285e+00,1.233352384829364157e+00,5.677020150620801925e-03,1.239029404979985038e+00,1.237330728000542779e+00,5.068240721894294240e-03,1.242398968722437269e+00
4.608000000000000000e+03,1.267291266575217179e+00,6.014266117969821294e-03,1.273305532693187025e+00,1.201874897119341590e+00,5.359853680841335059e-03,1.207234750800183054e+00,1.205574942844078734e+00,4.868952903520805224e-03,1.210443895747599363e+00
4.864000000000000000e+03,1.266994100208971297e+00,5.696301696068425957e-03,1.272690401905039570e+00,1.177288040044710105e+00,5.085444914224619348e-03,1.182373329445497445e+00,1.180630956893619077e+00,4.631345677212421810e-03,1.185262302570831539e+00
5.120000000000000000e+03,1.267112133333333279e+00,5.416666666666666852e-03,1.272528800000000127e+00,1.154824533333333347e+00,4.832133333333332899e-03,1.159656666666666558e+00,1.157859733333333363e+00,4.443599999999999807e-03,1.162303333333333244e+00
