Dimensions, All, L1, L2, MEM
2.560000000000000000e+02,2.558820000000000050e+01,2.235610000000000142e+01,2.287950000000000017e+01,2.382939999999999969e+01
5.120000000000000000e+02,1.924609999999999843e+01,1.720830000000000126e+01,1.747129999999999939e+01,1.858609999999999829e+01
7.680000000000000000e+02,1.506840000000000046e+01,1.326389999999999958e+01,1.365690000000000026e+01,1.469250000000000078e+01
1.024000000000000000e+03,1.642599999999999838e+01,1.485490000000000066e+01,1.519619999999999926e+01,1.618700000000000117e+01
1.280000000000000000e+03,1.072550000000000026e+01,9.171400000000000219e+00,9.156299999999999883e+00,1.060730000000000040e+01
1.536000000000000000e+03,1.126440000000000019e+01,9.667699999999999960e+00,9.554500000000000881e+00,1.115939999999999976e+01
1.792000000000000000e+03,7.503099999999999881e+00,5.959999999999999964e+00,5.609200000000000408e+00,7.399799999999999933e+00
2.048000000000000000e+03,1.055020000000000024e+01,9.027200000000000557e+00,8.578400000000000247e+00,1.041159999999999997e+01
2.304000000000000000e+03,9.945899999999999963e+00,8.494400000000000617e+00,8.491899999999999338e+00,9.875700000000000145e+00
2.560000000000000000e+03,9.455799999999999983e+00,8.002700000000000813e+00,7.543599999999999639e+00,9.381299999999999528e+00
2.816000000000000000e+03,6.879400000000000404e+00,5.354199999999999626e+00,4.943399999999999572e+00,6.799100000000000144e+00
3.072000000000000000e+03,9.895300000000000651e+00,8.362999999999999545e+00,7.293099999999999916e+00,9.788000000000000256e+00
3.328000000000000000e+03,6.760200000000000209e+00,5.212399999999999700e+00,4.783400000000000318e+00,6.676499999999999879e+00
3.584000000000000000e+03,1.101270000000000060e+01,9.502100000000000435e+00,9.262100000000000222e+00,1.093140000000000001e+01
3.840000000000000000e+03,9.227999999999999758e+00,7.718399999999999928e+00,7.532399999999999984e+00,9.160899999999999821e+00
4.096000000000000000e+03,1.489339999999999975e+01,1.339370000000000083e+01,1.322560000000000002e+01,1.477999999999999936e+01
4.352000000000000000e+03,1.000799999999999912e+01,8.523500000000000298e+00,8.388099999999999667e+00,9.943400000000000460e+00
4.608000000000000000e+03,1.264680000000000071e+01,1.115789999999999971e+01,1.111069999999999958e+01,1.256900000000000084e+01
4.864000000000000000e+03,1.022450000000000081e+01,8.728899999999999437e+00,8.641500000000000625e+00,1.015569999999999951e+01
5.120000000000000000e+03,1.300169999999999959e+01,1.136250000000000071e+01,1.047540000000000049e+01,1.289540000000000042e+01
