size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
256,0.0105,0.0036,1199.9876,0.3759,7702.9950,0.0811,299.0407,0.0031,8002.0357,0.0843,6573.8692,0.0692,254.7789,0.0027,6828.6480,0.0719,6561.0294,0.0691,142.7875,0.0015,6703.8169,0.0706,36.2225,0.0004,146.3484,0.0015,182.5708,0.0019
512,0.0448,0.0402,2599.9739,0.5506,22212.6471,0.9951,418.6838,0.0188,22631.3309,1.0139,12976.8508,0.5814,305.9065,0.0137,13282.7574,0.5951,12893.0875,0.5776,78.9248,0.0035,12972.0123,0.5812,25.8054,0.0012,83.2033,0.0037,109.0088,0.0049
768,0.1157,0.1083,2599.9644,0.4491,28379.5542,3.2836,398.1183,0.0461,28777.6724,3.3297,16521.5989,1.9116,301.1027,0.0348,16822.7016,1.9464,16416.1197,1.8994,118.0891,0.0137,16534.2089,1.9131,104.9891,0.0121,122.5403,0.0142,227.5293,0.0263
1024,0.2238,0.2375,2921.7379,0.4177,34613.3818,7.7482,396.9367,0.0889,35010.3186,7.8370,20107.4480,4.5010,307.3101,0.0688,20414.7582,4.5698,19981.1698,4.4728,331.0822,0.0741,20312.2520,4.5469,435.2775,0.0974,337.8742,0.0756,773.1518,0.1731
1280,0.3788,0.4436,3213.1664,0.4008,39751.8153,15.0584,373.5343,0.1415,40125.3496,15.1999,23057.6991,8.7345,299.6942,0.1135,23357.3934,8.8480,22917.8850,8.6816,348.3648,0.1320,23266.2499,8.8135,453.8892,0.1719,355.1328,0.1345,809.0219,0.3065
1536,0.6258,0.7332,3202.4504,0.3857,41331.6835,25.8639,326.9388,0.2046,41658.6223,26.0685,24031.6809,15.0382,264.7021,0.1656,24296.3830,15.2038,23955.2734,14.9904,315.7626,0.1976,24271.0360,15.1880,457.3627,0.2862,321.6302,0.2013,778.9929,0.4875
1792,0.9834,1.1650,3209.4336,0.3863,41672.8891,40.9809,286.1325,0.2814,41959.0216,41.2623,24310.6984,23.9070,231.6510,0.2278,24542.3494,24.1348,24217.7515,23.8156,273.4856,0.2689,24491.2371,24.0846,451.9890,0.4445,280.0819,0.2754,732.0709,0.7199
2048,2.5662,3.0958,3204.6730,0.6882,23825.3656,61.1396,144.3872,0.3705,23969.7528,61.5101,14029.8222,36.0027,117.1086,0.3005,14146.9308,36.3032,13972.5646,35.8558,136.7145,0.3508,14109.2792,36.2066,3607.9164,9.2585,143.2747,0.3677,3751.1911,9.6261
2304,4.4873,5.4342,3200.6990,0.8512,19317.9848,86.6856,105.3187,0.4726,19423.3036,87.1582,13647.1150,61.2387,86.2429,0.3870,13733.3579,61.6257,13655.8091,61.2777,98.3480,0.4413,13754.1571,61.7191,7992.6812,35.8656,104.9061,0.4707,8097.5873,36.3363
2560,7.2249,8.7865,3201.5723,1.0035,16453.3659,118.8738,81.2877,0.5873,16534.6536,119.4611,14975.4000,108.1956,69.8674,0.5048,15045.2674,108.7004,15021.2788,108.5271,73.7461,0.5328,15095.0249,109.0599,9033.1499,65.2635,80.3632,0.5806,9113.5131,65.8441
