Metric,Core 0,,,,
Runtime (RDTSC) [s],0.8313,,,,
Runtime unhalted [s],1.0181,,,,
Clock [MHz],3199.5118,,,,
CPI,0.3297,,,,
L2 to L1 load bandwidth [MBytes/s],33347.7803,,,,
L2 to L1 load data volume [GBytes],27.7211,,,,
L1 to L2 evict bandwidth [MBytes/s],899.5123,,,,
L1 to L2 evict data volume [GBytes],0.7477,,,,
L1 to/from L2 bandwidth [MBytes/s],34247.2926,,,,
L1 to/from L2 data volume [GBytes],28.4688,,,,
L3 to L2 load bandwidth [MBytes/s],9686.3133,,,,
L3 to L2 load data volume [GBytes],8.0520,,,,
L2 to L3 evict bandwidth [MBytes/s],807.0367,,,,
L2 to L3 evict data volume [GBytes],0.6709,,,,
L2 to/from L3 bandwidth [MBytes/s],10493.3500,,,,
L2 to/from L3 data volume [GBytes],8.7228,,,,
System to L3 bandwidth [MBytes/s],9555.4750,,,,
System to L3 data volume [GBytes],7.9432,,,,
L3 to system bandwidth [MBytes/s],450.7136,,,,
L3 to system data volume [GBytes],0.3747,,,,
L3 to/from system bandwidth [MBytes/s],10006.1886,,,,
L3 to/from system data volume [GBytes],8.3179,,,,
Memory read bandwidth [MBytes/s],674.8340,,,,
Memory read data volume [GBytes],0.5610,,,,
Memory write bandwidth [MBytes/s],457.3530,,,,
Memory write data volume [GBytes],0.3802,,,,
Memory bandwidth [MBytes/s],1132.1869,,,,
Memory data volume [GBytes],0.9412,,,,
