Metric,Core 0,,,,
Runtime (RDTSC) [s],3.1607,,,,
Runtime unhalted [s],3.8817,,,,
Clock [MHz],3199.9980,,,,
CPI,0.3249,,,,
L2 to L1 load bandwidth [MBytes/s],33661.4542,,,,
L2 to L1 load data volume [GBytes],106.3938,,,,
L1 to L2 evict bandwidth [MBytes/s],834.1921,,,,
L1 to L2 evict data volume [GBytes],2.6366,,,,
L1 to/from L2 bandwidth [MBytes/s],34495.6463,,,,
L1 to/from L2 data volume [GBytes],109.0304,,,,
L3 to L2 load bandwidth [MBytes/s],8246.3833,,,,
L3 to L2 load data volume [GBytes],26.0644,,,,
L2 to L3 evict bandwidth [MBytes/s],770.2308,,,,
L2 to L3 evict data volume [GBytes],2.4345,,,,
L2 to/from L3 bandwidth [MBytes/s],9016.6141,,,,
L2 to/from L3 data volume [GBytes],28.4988,,,,
System to L3 bandwidth [MBytes/s],8144.1976,,,,
System to L3 data volume [GBytes],25.7414,,,,
L3 to system bandwidth [MBytes/s],668.5146,,,,
L3 to system data volume [GBytes],2.1130,,,,
L3 to/from system bandwidth [MBytes/s],8812.7122,,,,
L3 to/from system data volume [GBytes],27.8543,,,,
Memory read bandwidth [MBytes/s],870.8750,,,,
Memory read data volume [GBytes],2.7526,,,,
Memory write bandwidth [MBytes/s],675.1359,,,,
Memory write data volume [GBytes],2.1339,,,,
Memory bandwidth [MBytes/s],1546.0108,,,,
Memory data volume [GBytes],4.8865,,,,
