Metric,Core 0,,,,
Runtime (RDTSC) [s],10.4830,,,,
Runtime unhalted [s],12.8482,,,,
Clock [MHz],3196.2446,,,,
CPI,0.3497,,,,
L2 to L1 load bandwidth [MBytes/s],30872.4848,,,,
L2 to L1 load data volume [GBytes],323.6372,,,,
L1 to L2 evict bandwidth [MBytes/s],759.0288,,,,
L1 to L2 evict data volume [GBytes],7.9569,,,,
L1 to/from L2 bandwidth [MBytes/s],31631.5136,,,,
L1 to/from L2 data volume [GBytes],331.5941,,,,
L3 to L2 load bandwidth [MBytes/s],8958.3870,,,,
L3 to L2 load data volume [GBytes],93.9110,,,,
L2 to L3 evict bandwidth [MBytes/s],651.7059,,,,
L2 to L3 evict data volume [GBytes],6.8319,,,,
L2 to/from L3 bandwidth [MBytes/s],9610.0930,,,,
L2 to/from L3 data volume [GBytes],100.7429,,,,
System to L3 bandwidth [MBytes/s],8940.6596,,,,
System to L3 data volume [GBytes],93.7252,,,,
L3 to system bandwidth [MBytes/s],657.0303,,,,
L3 to system data volume [GBytes],6.8877,,,,
L3 to/from system bandwidth [MBytes/s],9597.6899,,,,
L3 to/from system data volume [GBytes],100.6129,,,,
Memory read bandwidth [MBytes/s],2095.8941,,,,
Memory read data volume [GBytes],21.9713,,,,
Memory write bandwidth [MBytes/s],662.5987,,,,
Memory write data volume [GBytes],6.9460,,,,
Memory bandwidth [MBytes/s],2758.4928,,,,
Memory data volume [GBytes],28.9174,,,,
