Metric,Core 0,,,,
Runtime (RDTSC) [s],1.4085,,,,
Runtime unhalted [s],1.6008,,,,
Clock [MHz],2978.7830,,,,
CPI,0.3474,,,,
L2 to L1 load bandwidth [MBytes/s],29062.1462,,,,
L2 to L1 load data volume [GBytes],40.9329,,,,
L1 to L2 evict bandwidth [MBytes/s],743.9101,,,,
L1 to L2 evict data volume [GBytes],1.0478,,,,
L1 to/from L2 bandwidth [MBytes/s],29806.0563,,,,
L1 to/from L2 data volume [GBytes],41.9806,,,,
L3 to L2 load bandwidth [MBytes/s],9677.9836,,,,
L3 to L2 load data volume [GBytes],13.6311,,,,
L2 to L3 evict bandwidth [MBytes/s],692.1516,,,,
L2 to L3 evict data volume [GBytes],0.9749,,,,
L2 to/from L3 bandwidth [MBytes/s],10370.1352,,,,
L2 to/from L3 data volume [GBytes],14.6059,,,,
System to L3 bandwidth [MBytes/s],9613.0757,,,,
System to L3 data volume [GBytes],13.5396,,,,
L3 to system bandwidth [MBytes/s],541.5667,,,,
L3 to system data volume [GBytes],0.7628,,,,
L3 to/from system bandwidth [MBytes/s],10154.6424,,,,
L3 to/from system data volume [GBytes],14.3024,,,,
Memory read bandwidth [MBytes/s],1501.9483,,,,
Memory read data volume [GBytes],2.1154,,,,
Memory write bandwidth [MBytes/s],548.0566,,,,
Memory write data volume [GBytes],0.7719,,,,
Memory bandwidth [MBytes/s],2050.0048,,,,
Memory data volume [GBytes],2.8873,,,,
