Metric,Core 0,,,,
Runtime (RDTSC) [s],0.5824,,,,
Runtime unhalted [s],0.6626,,,,
Clock [MHz],2982.5870,,,,
CPI,0.3406,,,,
L2 to L1 load bandwidth [MBytes/s],29894.5648,,,,
L2 to L1 load data volume [GBytes],17.4120,,,,
L1 to L2 evict bandwidth [MBytes/s],829.7149,,,,
L1 to L2 evict data volume [GBytes],0.4833,,,,
L1 to/from L2 bandwidth [MBytes/s],30724.2797,,,,
L1 to/from L2 data volume [GBytes],17.8953,,,,
L3 to L2 load bandwidth [MBytes/s],9665.5343,,,,
L3 to L2 load data volume [GBytes],5.6297,,,,
L2 to L3 evict bandwidth [MBytes/s],737.2364,,,,
L2 to L3 evict data volume [GBytes],0.4294,,,,
L2 to/from L3 bandwidth [MBytes/s],10402.7707,,,,
L2 to/from L3 data volume [GBytes],6.0591,,,,
System to L3 bandwidth [MBytes/s],9468.5862,,,,
System to L3 data volume [GBytes],5.5149,,,,
L3 to system bandwidth [MBytes/s],146.4615,,,,
L3 to system data volume [GBytes],0.0853,,,,
L3 to/from system bandwidth [MBytes/s],9615.0477,,,,
L3 to/from system data volume [GBytes],5.6003,,,,
Memory read bandwidth [MBytes/s],378.0428,,,,
Memory read data volume [GBytes],0.2202,,,,
Memory write bandwidth [MBytes/s],152.1945,,,,
Memory write data volume [GBytes],0.0886,,,,
Memory bandwidth [MBytes/s],530.2373,,,,
Memory data volume [GBytes],0.3088,,,,
