Metric,Core 0,,,,
Runtime (RDTSC) [s],8.6497,,,,
Runtime unhalted [s],10.6160,,,,
Clock [MHz],3198.2994,,,,
CPI,0.3514,,,,
L2 to L1 load bandwidth [MBytes/s],31221.8142,,,,
L2 to L1 load data volume [GBytes],270.0593,,,,
L1 to L2 evict bandwidth [MBytes/s],775.3771,,,,
L1 to L2 evict data volume [GBytes],6.7068,,,,
L1 to/from L2 bandwidth [MBytes/s],31997.1913,,,,
L1 to/from L2 data volume [GBytes],276.7660,,,,
L3 to L2 load bandwidth [MBytes/s],15309.5269,,,,
L3 to L2 load data volume [GBytes],132.4228,,,,
L2 to L3 evict bandwidth [MBytes/s],692.8471,,,,
L2 to L3 evict data volume [GBytes],5.9929,,,,
L2 to/from L3 bandwidth [MBytes/s],16002.3740,,,,
L2 to/from L3 data volume [GBytes],138.4157,,,,
System to L3 bandwidth [MBytes/s],15186.6515,,,,
System to L3 data volume [GBytes],131.3599,,,,
L3 to system bandwidth [MBytes/s],617.2684,,,,
L3 to system data volume [GBytes],5.3392,,,,
L3 to/from system bandwidth [MBytes/s],15803.9199,,,,
L3 to/from system data volume [GBytes],136.6991,,,,
Memory read bandwidth [MBytes/s],859.2203,,,,
Memory read data volume [GBytes],7.4320,,,,
Memory write bandwidth [MBytes/s],623.9483,,,,
Memory write data volume [GBytes],5.3970,,,,
Memory bandwidth [MBytes/s],1483.1686,,,,
Memory data volume [GBytes],12.8290,,,,
