Metric,Core 0,,,,
Runtime (RDTSC) [s],13.9995,,,,
Runtime unhalted [s],17.1696,,,,
Clock [MHz],3197.4447,,,,
CPI,0.3286,,,,
L2 to L1 load bandwidth [MBytes/s],33149.3730,,,,
L2 to L1 load data volume [GBytes],464.0740,,,,
L1 to L2 evict bandwidth [MBytes/s],789.3249,,,,
L1 to L2 evict data volume [GBytes],11.0501,,,,
L1 to/from L2 bandwidth [MBytes/s],33938.6978,,,,
L1 to/from L2 data volume [GBytes],475.1241,,,,
L3 to L2 load bandwidth [MBytes/s],6733.2558,,,,
L3 to L2 load data volume [GBytes],94.2621,,,,
L2 to L3 evict bandwidth [MBytes/s],727.9086,,,,
L2 to L3 evict data volume [GBytes],10.1903,,,,
L2 to/from L3 bandwidth [MBytes/s],7461.1644,,,,
L2 to/from L3 data volume [GBytes],104.4524,,,,
System to L3 bandwidth [MBytes/s],6570.1357,,,,
System to L3 data volume [GBytes],91.9785,,,,
L3 to system bandwidth [MBytes/s],618.6613,,,,
L3 to system data volume [GBytes],8.6609,,,,
L3 to/from system bandwidth [MBytes/s],7188.7970,,,,
L3 to/from system data volume [GBytes],100.6394,,,,
Memory read bandwidth [MBytes/s],1126.8747,,,,
Memory read data volume [GBytes],15.7757,,,,
Memory write bandwidth [MBytes/s],625.2346,,,,
Memory write data volume [GBytes],8.7530,,,,
Memory bandwidth [MBytes/s],1752.1093,,,,
Memory data volume [GBytes],24.5286,,,,
