Metric,Core 0,,,,
Runtime (RDTSC) [s],2.4296,,,,
Runtime unhalted [s],2.9840,,,,
Clock [MHz],3199.9947,,,,
CPI,0.3325,,,,
L2 to L1 load bandwidth [MBytes/s],33182.2944,,,,
L2 to L1 load data volume [GBytes],80.6191,,,,
L1 to L2 evict bandwidth [MBytes/s],859.0160,,,,
L1 to L2 evict data volume [GBytes],2.0870,,,,
L1 to/from L2 bandwidth [MBytes/s],34041.3104,,,,
L1 to/from L2 data volume [GBytes],82.7061,,,,
L3 to L2 load bandwidth [MBytes/s],10023.3830,,,,
L3 to L2 load data volume [GBytes],24.3526,,,,
L2 to L3 evict bandwidth [MBytes/s],746.4187,,,,
L2 to L3 evict data volume [GBytes],1.8135,,,,
L2 to/from L3 bandwidth [MBytes/s],10769.8017,,,,
L2 to/from L3 data volume [GBytes],26.1661,,,,
System to L3 bandwidth [MBytes/s],9797.4712,,,,
System to L3 data volume [GBytes],23.8037,,,,
L3 to system bandwidth [MBytes/s],653.6128,,,,
L3 to system data volume [GBytes],1.5880,,,,
L3 to/from system bandwidth [MBytes/s],10451.0840,,,,
L3 to/from system data volume [GBytes],25.3918,,,,
Memory read bandwidth [MBytes/s],970.5875,,,,
Memory read data volume [GBytes],2.3581,,,,
Memory write bandwidth [MBytes/s],660.2357,,,,
Memory write data volume [GBytes],1.6041,,,,
Memory bandwidth [MBytes/s],1630.8232,,,,
Memory data volume [GBytes],3.9622,,,,
