Metric,Core 0,,,,
Runtime (RDTSC) [s],0.3033,,,,
Runtime unhalted [s],0.3704,,,,
Clock [MHz],3200.5996,,,,
CPI,0.3274,,,,
L2 to L1 load bandwidth [MBytes/s],33418.0743,,,,
L2 to L1 load data volume [GBytes],10.1344,,,,
L1 to L2 evict bandwidth [MBytes/s],939.8418,,,,
L1 to L2 evict data volume [GBytes],0.2850,,,,
L1 to/from L2 bandwidth [MBytes/s],34357.9161,,,,
L1 to/from L2 data volume [GBytes],10.4194,,,,
L3 to L2 load bandwidth [MBytes/s],5965.8987,,,,
L3 to L2 load data volume [GBytes],1.8092,,,,
L2 to L3 evict bandwidth [MBytes/s],862.9444,,,,
L2 to L3 evict data volume [GBytes],0.2617,,,,
L2 to/from L3 bandwidth [MBytes/s],6828.8431,,,,
L2 to/from L3 data volume [GBytes],2.0709,,,,
System to L3 bandwidth [MBytes/s],5797.7068,,,,
System to L3 data volume [GBytes],1.7582,,,,
L3 to system bandwidth [MBytes/s],83.2545,,,,
L3 to system data volume [GBytes],0.0252,,,,
L3 to/from system bandwidth [MBytes/s],5880.9613,,,,
L3 to/from system data volume [GBytes],1.7835,,,,
Memory read bandwidth [MBytes/s],307.9626,,,,
Memory read data volume [GBytes],0.0934,,,,
Memory write bandwidth [MBytes/s],89.9508,,,,
Memory write data volume [GBytes],0.0273,,,,
Memory bandwidth [MBytes/s],397.9134,,,,
Memory data volume [GBytes],0.1207,,,,
