Metric,Core 0,,,,
Runtime (RDTSC) [s],5.2074,,,,
Runtime unhalted [s],6.3959,,,,
Clock [MHz],3199.9025,,,,
CPI,0.3249,,,,
L2 to L1 load bandwidth [MBytes/s],34275.9006,,,,
L2 to L1 load data volume [GBytes],178.4892,,,,
L1 to L2 evict bandwidth [MBytes/s],901.2900,,,,
L1 to L2 evict data volume [GBytes],4.6934,,,,
L1 to/from L2 bandwidth [MBytes/s],35177.1906,,,,
L1 to/from L2 data volume [GBytes],183.1826,,,,
L3 to L2 load bandwidth [MBytes/s],7873.8546,,,,
L3 to L2 load data volume [GBytes],41.0025,,,,
L2 to L3 evict bandwidth [MBytes/s],753.5674,,,,
L2 to L3 evict data volume [GBytes],3.9241,,,,
L2 to/from L3 bandwidth [MBytes/s],8627.4220,,,,
L2 to/from L3 data volume [GBytes],44.9267,,,,
System to L3 bandwidth [MBytes/s],7788.8117,,,,
System to L3 data volume [GBytes],40.5597,,,,
L3 to system bandwidth [MBytes/s],668.4179,,,,
L3 to system data volume [GBytes],3.4807,,,,
L3 to/from system bandwidth [MBytes/s],8457.2297,,,,
L3 to/from system data volume [GBytes],44.0404,,,,
Memory read bandwidth [MBytes/s],891.9921,,,,
Memory read data volume [GBytes],4.6450,,,,
Memory write bandwidth [MBytes/s],675.1185,,,,
Memory write data volume [GBytes],3.5156,,,,
Memory bandwidth [MBytes/s],1567.1106,,,,
Memory data volume [GBytes],8.1606,,,,
