Metric,Core 0,,,,
Runtime (RDTSC) [s],12.0939,,,,
Runtime unhalted [s],14.8025,,,,
Clock [MHz],3194.8029,,,,
CPI,0.3359,,,,
L2 to L1 load bandwidth [MBytes/s],32463.0947,,,,
L2 to L1 load data volume [GBytes],392.6067,,,,
L1 to L2 evict bandwidth [MBytes/s],790.5796,,,,
L1 to L2 evict data volume [GBytes],9.5612,,,,
L1 to/from L2 bandwidth [MBytes/s],33253.6744,,,,
L1 to/from L2 data volume [GBytes],402.1679,,,,
L3 to L2 load bandwidth [MBytes/s],11904.2496,,,,
L3 to L2 load data volume [GBytes],143.9693,,,,
L2 to L3 evict bandwidth [MBytes/s],726.0273,,,,
L2 to L3 evict data volume [GBytes],8.7805,,,,
L2 to/from L3 bandwidth [MBytes/s],12630.2769,,,,
L2 to/from L3 data volume [GBytes],152.7498,,,,
System to L3 bandwidth [MBytes/s],11860.2992,,,,
System to L3 data volume [GBytes],143.4377,,,,
L3 to system bandwidth [MBytes/s],610.8353,,,,
L3 to system data volume [GBytes],7.3874,,,,
L3 to/from system bandwidth [MBytes/s],12471.1345,,,,
L3 to/from system data volume [GBytes],150.8252,,,,
Memory read bandwidth [MBytes/s],914.3695,,,,
Memory read data volume [GBytes],11.0583,,,,
Memory write bandwidth [MBytes/s],617.6791,,,,
Memory write data volume [GBytes],7.4702,,,,
Memory bandwidth [MBytes/s],1532.0486,,,,
Memory data volume [GBytes],18.5285,,,,
