Metric,Core 0,,,,
Runtime (RDTSC) [s],1.7687,,,,
Runtime unhalted [s],2.1714,,,,
Clock [MHz],3200.1108,,,,
CPI,0.3319,,,,
L2 to L1 load bandwidth [MBytes/s],32922.6399,,,,
L2 to L1 load data volume [GBytes],58.2289,,,,
L1 to L2 evict bandwidth [MBytes/s],829.5922,,,,
L1 to L2 evict data volume [GBytes],1.4673,,,,
L1 to/from L2 bandwidth [MBytes/s],33752.2321,,,,
L1 to/from L2 data volume [GBytes],59.6961,,,,
L3 to L2 load bandwidth [MBytes/s],10725.4117,,,,
L3 to L2 load data volume [GBytes],18.9696,,,,
L2 to L3 evict bandwidth [MBytes/s],777.6853,,,,
L2 to L3 evict data volume [GBytes],1.3755,,,,
L2 to/from L3 bandwidth [MBytes/s],11503.0970,,,,
L2 to/from L3 data volume [GBytes],20.3450,,,,
System to L3 bandwidth [MBytes/s],10587.1611,,,,
System to L3 data volume [GBytes],18.7251,,,,
L3 to system bandwidth [MBytes/s],651.6112,,,,
L3 to system data volume [GBytes],1.1525,,,,
L3 to/from system bandwidth [MBytes/s],11238.7723,,,,
L3 to/from system data volume [GBytes],19.8775,,,,
Memory read bandwidth [MBytes/s],856.4029,,,,
Memory read data volume [GBytes],1.5147,,,,
Memory write bandwidth [MBytes/s],658.2563,,,,
Memory write data volume [GBytes],1.1642,,,,
Memory bandwidth [MBytes/s],1514.6592,,,,
Memory data volume [GBytes],2.6789,,,,
