Metric,Core 0,,,,
Runtime (RDTSC) [s],0.2030,,,,
Runtime unhalted [s],0.2008,,,,
Clock [MHz],2599.9930,,,,
CPI,0.3460,,,,
L2 to L1 load bandwidth [MBytes/s],25747.3900,,,,
L2 to L1 load data volume [GBytes],5.2278,,,,
L1 to L2 evict bandwidth [MBytes/s],777.2770,,,,
L1 to L2 evict data volume [GBytes],0.1578,,,,
L1 to/from L2 bandwidth [MBytes/s],26524.6670,,,,
L1 to/from L2 data volume [GBytes],5.3856,,,,
L3 to L2 load bandwidth [MBytes/s],7010.8050,,,,
L3 to L2 load data volume [GBytes],1.4235,,,,
L2 to L3 evict bandwidth [MBytes/s],691.0371,,,,
L2 to L3 evict data volume [GBytes],0.1403,,,,
L2 to/from L3 bandwidth [MBytes/s],7701.8422,,,,
L2 to/from L3 data volume [GBytes],1.5638,,,,
System to L3 bandwidth [MBytes/s],6781.1587,,,,
System to L3 data volume [GBytes],1.3769,,,,
L3 to system bandwidth [MBytes/s],75.2124,,,,
L3 to system data volume [GBytes],0.0153,,,,
L3 to/from system bandwidth [MBytes/s],6856.3711,,,,
L3 to/from system data volume [GBytes],1.3921,,,,
Memory read bandwidth [MBytes/s],110.5860,,,,
Memory read data volume [GBytes],0.0225,,,,
Memory write bandwidth [MBytes/s],81.7860,,,,
Memory write data volume [GBytes],0.0166,,,,
Memory bandwidth [MBytes/s],192.3721,,,,
Memory data volume [GBytes],0.0391,,,,
