Metric,Core 0,,,,
Runtime (RDTSC) [s],6.8565,,,,
Runtime unhalted [s],8.4066,,,,
Clock [MHz],3196.7254,,,,
CPI,0.3418,,,,
L2 to L1 load bandwidth [MBytes/s],31828.1578,,,,
L2 to L1 load data volume [GBytes],218.2305,,,,
L1 to L2 evict bandwidth [MBytes/s],735.1863,,,,
L1 to L2 evict data volume [GBytes],5.0408,,,,
L1 to/from L2 bandwidth [MBytes/s],32563.3441,,,,
L1 to/from L2 data volume [GBytes],223.2713,,,,
L3 to L2 load bandwidth [MBytes/s],12085.6516,,,,
L3 to L2 load data volume [GBytes],82.8655,,,,
L2 to L3 evict bandwidth [MBytes/s],702.9601,,,,
L2 to L3 evict data volume [GBytes],4.8199,,,,
L2 to/from L3 bandwidth [MBytes/s],12788.6116,,,,
L2 to/from L3 data volume [GBytes],87.6854,,,,
System to L3 bandwidth [MBytes/s],11913.7655,,,,
System to L3 data volume [GBytes],81.6870,,,,
L3 to system bandwidth [MBytes/s],636.9712,,,,
L3 to system data volume [GBytes],4.3674,,,,
L3 to/from system bandwidth [MBytes/s],12550.7367,,,,
L3 to/from system data volume [GBytes],86.0544,,,,
Memory read bandwidth [MBytes/s],1101.1928,,,,
Memory read data volume [GBytes],7.5504,,,,
Memory write bandwidth [MBytes/s],643.6722,,,,
Memory write data volume [GBytes],4.4134,,,,
Memory bandwidth [MBytes/s],1744.8650,,,,
Memory data volume [GBytes],11.9637,,,,
