Metric,Core 0,,,,
Runtime (RDTSC) [s],4.2651,,,,
Runtime unhalted [s],5.2339,,,,
Clock [MHz],3199.1590,,,,
CPI,0.3381,,,,
L2 to L1 load bandwidth [MBytes/s],32214.9973,,,,
L2 to L1 load data volume [GBytes],137.4012,,,,
L1 to L2 evict bandwidth [MBytes/s],780.5961,,,,
L1 to L2 evict data volume [GBytes],3.3293,,,,
L1 to/from L2 bandwidth [MBytes/s],32995.5934,,,,
L1 to/from L2 data volume [GBytes],140.7306,,,,
L3 to L2 load bandwidth [MBytes/s],9133.3997,,,,
L3 to L2 load data volume [GBytes],38.9552,,,,
L2 to L3 evict bandwidth [MBytes/s],720.6638,,,,
L2 to L3 evict data volume [GBytes],3.0737,,,,
L2 to/from L3 bandwidth [MBytes/s],9854.0634,,,,
L2 to/from L3 data volume [GBytes],42.0289,,,,
System to L3 bandwidth [MBytes/s],8979.4653,,,,
System to L3 data volume [GBytes],38.2986,,,,
L3 to system bandwidth [MBytes/s],655.4977,,,,
L3 to system data volume [GBytes],2.7958,,,,
L3 to/from system bandwidth [MBytes/s],9634.9630,,,,
L3 to/from system data volume [GBytes],41.0944,,,,
Memory read bandwidth [MBytes/s],1553.4395,,,,
Memory read data volume [GBytes],6.6256,,,,
Memory write bandwidth [MBytes/s],661.9164,,,,
Memory write data volume [GBytes],2.8232,,,,
Memory bandwidth [MBytes/s],2215.3559,,,,
Memory data volume [GBytes],9.4488,,,,
