Metric,Core 0,,,,
Runtime (RDTSC) [s],0.0322,,,,
Runtime unhalted [s],0.0312,,,,
Clock [MHz],2599.9917,,,,
CPI,0.4208,,,,
L2 to L1 load bandwidth [MBytes/s],20699.3714,,,,
L2 to L1 load data volume [GBytes],0.6669,,,,
L1 to L2 evict bandwidth [MBytes/s],768.2685,,,,
L1 to L2 evict data volume [GBytes],0.0248,,,,
L1 to/from L2 bandwidth [MBytes/s],21467.6399,,,,
L1 to/from L2 data volume [GBytes],0.6917,,,,
L3 to L2 load bandwidth [MBytes/s],7972.1416,,,,
L3 to L2 load data volume [GBytes],0.2569,,,,
L2 to L3 evict bandwidth [MBytes/s],661.4133,,,,
L2 to L3 evict data volume [GBytes],0.0213,,,,
L2 to/from L3 bandwidth [MBytes/s],8633.5549,,,,
L2 to/from L3 data volume [GBytes],0.2782,,,,
System to L3 bandwidth [MBytes/s],7760.7711,,,,
System to L3 data volume [GBytes],0.2501,,,,
L3 to system bandwidth [MBytes/s],22.2446,,,,
L3 to system data volume [GBytes],0.0007,,,,
L3 to/from system bandwidth [MBytes/s],7783.0157,,,,
L3 to/from system data volume [GBytes],0.2508,,,,
Memory read bandwidth [MBytes/s],17.8271,,,,
Memory read data volume [GBytes],0.0006,,,,
Memory write bandwidth [MBytes/s],28.7041,,,,
Memory write data volume [GBytes],0.0009,,,,
Memory bandwidth [MBytes/s],46.5312,,,,
Memory data volume [GBytes],0.0015,,,,
