Metric,Core 0,,,,
Runtime (RDTSC) [s],17.2897,,,,
Runtime unhalted [s],21.2155,,,,
Clock [MHz],3197.8315,,,,
CPI,0.3452,,,,
L2 to L1 load bandwidth [MBytes/s],31877.1763,,,,
L2 to L1 load data volume [GBytes],551.1465,,,,
L1 to L2 evict bandwidth [MBytes/s],797.1596,,,,
L1 to L2 evict data volume [GBytes],13.7826,,,,
L1 to/from L2 bandwidth [MBytes/s],32674.3359,,,,
L1 to/from L2 data volume [GBytes],564.9291,,,,
L3 to L2 load bandwidth [MBytes/s],15533.5449,,,,
L3 to L2 load data volume [GBytes],268.5702,,,,
L2 to L3 evict bandwidth [MBytes/s],702.3628,,,,
L2 to L3 evict data volume [GBytes],12.1436,,,,
L2 to/from L3 bandwidth [MBytes/s],16235.9077,,,,
L2 to/from L3 data volume [GBytes],280.7138,,,,
System to L3 bandwidth [MBytes/s],15462.6846,,,,
System to L3 data volume [GBytes],267.3450,,,,
L3 to system bandwidth [MBytes/s],620.8314,,,,
L3 to system data volume [GBytes],10.7340,,,,
L3 to/from system bandwidth [MBytes/s],16083.5160,,,,
L3 to/from system data volume [GBytes],278.0790,,,,
Memory read bandwidth [MBytes/s],876.1062,,,,
Memory read data volume [GBytes],15.1476,,,,
Memory write bandwidth [MBytes/s],627.4697,,,,
Memory write data volume [GBytes],10.8488,,,,
Memory bandwidth [MBytes/s],1503.5758,,,,
Memory data volume [GBytes],25.9964,,,,
