Metric,Core 0,,,,
Runtime (RDTSC) [s],0.0044,,,,
Runtime unhalted [s],0.0038,,,,
Clock [MHz],2600.0136,,,,
CPI,0.4032,,,,
L2 to L1 load bandwidth [MBytes/s],19968.5844,,,,
L2 to L1 load data volume [GBytes],0.0878,,,,
L1 to L2 evict bandwidth [MBytes/s],936.3014,,,,
L1 to L2 evict data volume [GBytes],0.0041,,,,
L1 to/from L2 bandwidth [MBytes/s],20904.8857,,,,
L1 to/from L2 data volume [GBytes],0.0919,,,,
L3 to L2 load bandwidth [MBytes/s],4907.5799,,,,
L3 to L2 load data volume [GBytes],0.0216,,,,
L2 to L3 evict bandwidth [MBytes/s],726.7134,,,,
L2 to L3 evict data volume [GBytes],0.0032,,,,
L2 to/from L3 bandwidth [MBytes/s],5634.2932,,,,
L2 to/from L3 data volume [GBytes],0.0248,,,,
System to L3 bandwidth [MBytes/s],4746.8647,,,,
System to L3 data volume [GBytes],0.0209,,,,
L3 to system bandwidth [MBytes/s],83.6051,,,,
L3 to system data volume [GBytes],0.0004,,,,
L3 to/from system bandwidth [MBytes/s],4830.4698,,,,
L3 to/from system data volume [GBytes],0.0212,,,,
Memory read bandwidth [MBytes/s],54.0280,,,,
Memory read data volume [GBytes],0.0002,,,,
Memory write bandwidth [MBytes/s],89.1972,,,,
Memory write data volume [GBytes],0.0004,,,,
Memory bandwidth [MBytes/s],143.2252,,,,
Memory data volume [GBytes],0.0006,,,,
