i,j,k,flop,flop-ref
256,256,256,24.06,23.64
512,512,512,28.21,30.36
768,768,768,31.44,33.47
1024,1024,1024,38.72,41.54
1280,1280,1280,41.43,42.91
1536,1536,1536,41.48,42.41
1792,1792,1792,43.56,42.90
2048,2048,2048,41.88,41.98
2304,2304,2304,43.71,43.35
2560,2560,2560,43.32,42.27
2816,2816,2816,43.67,43.36
3072,3072,3072,42.00,42.34
3328,3328,3328,44.08,43.43
3584,3584,3584,40.82,42.52
3840,3840,3840,42.91,43.40
4096,4096,4096,38.45,38.90
4352,4352,4352,41.26,43.59
4608,4608,4608,38.80,42.50
4864,4864,4864,43.61,43.56
5120,5120,5120,39.59,42.47
