i,j,k,flop,flop-ref
256,256,256,25.97,23.81
512,512,512,27.27,30.43
768,768,768,34.02,40.61
1024,1024,1024,34.40,41.50
1280,1280,1280,42.47,42.82
1536,1536,1536,40.67,42.31
1792,1792,1792,41.59,43.08
2048,2048,2048,39.23,41.99
2304,2304,2304,42.14,43.27
2560,2560,2560,42.78,42.25
2816,2816,2816,43.29,43.43
3072,3072,3072,41.24,42.45
3328,3328,3328,43.90,43.40
3584,3584,3584,40.77,42.52
3840,3840,3840,39.69,43.48
4096,4096,4096,39.95,38.90
4352,4352,4352,41.26,43.58
4608,4608,4608,43.07,42.48
4864,4864,4864,40.40,43.46
5120,5120,5120,40.67,42.54
