Metric,Core 0,,,,
Runtime (RDTSC) [s],1.2664,,,,
Runtime unhalted [s],1.5532,,,,
Clock [MHz],3199.8885,,,,
CPI,0.3371,,,,
Cycles without execution [%],10.5502,,,,
Cycles without execution due to L1D [%],9.0272,,,,
Cycles without execution due to L2 [%],8.5784,,,,
Cycles without execution due to memory [%],10.4116,,,,
