i,j,k,flop,flop-ref
256,256,256,10.12,23.74
512,512,512,20.50,30.46
768,768,768,26.85,33.34
1024,1024,1024,35.50,41.42
1280,1280,1280,35.12,42.86
1536,1536,1536,35.70,42.31
1792,1792,1792,31.89,43.18
2048,2048,2048,20.25,41.87
2304,2304,2304,16.35,43.20
2560,2560,2560,14.16,42.51
2816,2816,2816,13.44,43.47
3072,3072,3072,13.43,42.45
3328,3328,3328,13.45,43.40
3584,3584,3584,13.44,42.55
3840,3840,3840,13.43,43.38
4096,4096,4096,13.44,38.92
4352,4352,4352,14.46,43.42
4608,4608,4608,15.43,42.36
4864,4864,4864,16.26,43.44
5120,5120,5120,15.36,42.54
