Metric,Core 0,,,,
Runtime (RDTSC) [s],52.5761,,,,
Runtime unhalted [s],64.3165,,,,
Clock [MHz],3200.8159,,,,
CPI,0.9197,,,,
Cycles without execution [%],54.8196,,,,
Cycles without execution due to L1D [%],53.9249,,,,
Cycles without execution due to L2 [%],54.6888,,,,
Cycles without execution due to memory [%],54.6356,,,,
