Metric,Core 0,,,,
Runtime (RDTSC) [s],42.5607,,,,
Runtime unhalted [s],52.0434,,,,
Clock [MHz],3201.2628,,,,
CPI,0.8679,,,,
Cycles without execution [%],52.7755,,,,
Cycles without execution due to L1D [%],51.8293,,,,
Cycles without execution due to L2 [%],52.5381,,,,
Cycles without execution due to memory [%],52.6113,,,,
