Metric,Core 0,,,,
Runtime (RDTSC) [s],30.6857,,,,
Runtime unhalted [s],37.4543,,,,
Clock [MHz],3201.6681,,,,
CPI,1.0444,,,,
Cycles without execution [%],57.9747,,,,
Cycles without execution due to L1D [%],57.3333,,,,
Cycles without execution due to L2 [%],57.9173,,,,
Cycles without execution due to memory [%],57.8058,,,,
