Metric,Core 0,,,,
Runtime (RDTSC) [s],20.5762,,,,
Runtime unhalted [s],25.0615,,,,
Clock [MHz],3198.5779,,,,
CPI,1.0454,,,,
Cycles without execution [%],58.0418,,,,
Cycles without execution due to L1D [%],57.3281,,,,
Cycles without execution due to L2 [%],57.9736,,,,
Cycles without execution due to memory [%],57.7969,,,,
