size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
256,0.004400,0.003800,2600.013600,0.403200,19968.584400,0.087800,936.301400,0.004100,20904.885700,0.091900,4907.579900,0.021600,726.713400,0.003200,5634.293200,0.024800,4746.864700,0.020900,83.605100,0.000400,4830.469800,0.021200,54.028000,0.000200,89.197200,0.000400,143.225200,0.000600
512,0.032200,0.031200,2599.991700,0.420800,20699.371400,0.666900,768.268500,0.024800,21467.639900,0.691700,7972.141600,0.256900,661.413300,0.021300,8633.554900,0.278200,7760.771100,0.250100,22.244600,0.000700,7783.015700,0.250800,17.827100,0.000600,28.704100,0.000900,46.531200,0.001500
768,0.087100,0.084800,2599.989200,0.345200,25393.685600,2.210600,816.059000,0.071000,26209.744600,2.281700,5736.988400,0.499400,751.996100,0.065500,6488.984500,0.564900,5562.121100,0.484200,39.724300,0.003500,5601.845400,0.487700,36.997600,0.003200,45.212400,0.003900,82.209900,0.007200
1024,0.203000,0.200800,2599.993000,0.346000,25747.390000,5.227800,777.277000,0.157800,26524.667000,5.385600,7010.805000,1.423500,691.037100,0.140300,7701.842200,1.563800,6781.158700,1.376900,75.212400,0.015300,6856.371100,1.392100,110.586000,0.022500,81.786000,0.016600,192.372100,0.039100
1280,0.303300,0.370400,3200.599600,0.327400,33418.074300,10.134400,939.841800,0.285000,34357.916100,10.419400,5965.898700,1.809200,862.944400,0.261700,6828.843100,2.070900,5797.706800,1.758200,83.254500,0.025200,5880.961300,1.783500,307.962600,0.093400,89.950800,0.027300,397.913400,0.120700
1536,0.582400,0.662600,2982.587000,0.340600,29894.564800,17.412000,829.714900,0.483300,30724.279700,17.895300,9665.534300,5.629700,737.236400,0.429400,10402.770700,6.059100,9468.586200,5.514900,146.461500,0.085300,9615.047700,5.600300,378.042800,0.220200,152.194500,0.088600,530.237300,0.308800
1792,0.831300,1.018100,3199.511800,0.329700,33347.780300,27.721100,899.512300,0.747700,34247.292600,28.468800,9686.313300,8.052000,807.036700,0.670900,10493.350000,8.722800,9555.475000,7.943200,450.713600,0.374700,10006.188600,8.317900,674.834000,0.561000,457.353000,0.380200,1132.186900,0.941200
2048,1.408500,1.600800,2978.783000,0.347400,29062.146200,40.932900,743.910100,1.047800,29806.056300,41.980600,9677.983600,13.631100,692.151600,0.974900,10370.135200,14.605900,9613.075700,13.539600,541.566700,0.762800,10154.642400,14.302400,1501.948300,2.115400,548.056600,0.771900,2050.004800,2.887300
2304,1.768700,2.171400,3200.110800,0.331900,32922.639900,58.228900,829.592200,1.467300,33752.232100,59.696100,10725.411700,18.969600,777.685300,1.375500,11503.097000,20.345000,10587.161100,18.725100,651.611200,1.152500,11238.772300,19.877500,856.402900,1.514700,658.256300,1.164200,1514.659200,2.678900
2560,2.429600,2.984000,3199.994700,0.332500,33182.294400,80.619100,859.016000,2.087000,34041.310400,82.706100,10023.383000,24.352600,746.418700,1.813500,10769.801700,26.166100,9797.471200,23.803700,653.612800,1.588000,10451.084000,25.391800,970.587500,2.358100,660.235700,1.604100,1630.823200,3.962200
