Metric,Core 0,,,,
Runtime (RDTSC) [s],0.3788,,,,
Runtime unhalted [s],0.4436,,,,
Clock [MHz],3213.1664,,,,
CPI,0.4008,,,,
L2 to L1 load bandwidth [MBytes/s],39751.8153,,,,
L2 to L1 load data volume [GBytes],15.0584,,,,
L1 to L2 evict bandwidth [MBytes/s],373.5343,,,,
L1 to L2 evict data volume [GBytes],0.1415,,,,
L1 to/from L2 bandwidth [MBytes/s],40125.3496,,,,
L1 to/from L2 data volume [GBytes],15.1999,,,,
L3 to L2 load bandwidth [MBytes/s],23057.6991,,,,
L3 to L2 load data volume [GBytes],8.7345,,,,
L2 to L3 evict bandwidth [MBytes/s],299.6942,,,,
L2 to L3 evict data volume [GBytes],0.1135,,,,
L2 to/from L3 bandwidth [MBytes/s],23357.3934,,,,
L2 to/from L3 data volume [GBytes],8.8480,,,,
System to L3 bandwidth [MBytes/s],22917.8850,,,,
System to L3 data volume [GBytes],8.6816,,,,
L3 to system bandwidth [MBytes/s],348.3648,,,,
L3 to system data volume [GBytes],0.1320,,,,
L3 to/from system bandwidth [MBytes/s],23266.2499,,,,
L3 to/from system data volume [GBytes],8.8135,,,,
Memory read bandwidth [MBytes/s],453.8892,,,,
Memory read data volume [GBytes],0.1719,,,,
Memory write bandwidth [MBytes/s],355.1328,,,,
Memory write data volume [GBytes],0.1345,,,,
Memory bandwidth [MBytes/s],809.0219,,,,
Memory data volume [GBytes],0.3065,,,,
