Metric,Core 0,,,,
Runtime (RDTSC) [s],37.9915,,,,
Runtime unhalted [s],46.4077,,,,
Clock [MHz],3200.5463,,,,
CPI,0.9102,,,,
L2 to L1 load bandwidth [MBytes/s],18238.0573,,,,
L2 to L1 load data volume [GBytes],692.8915,,,,
L1 to L2 evict bandwidth [MBytes/s],86.5531,,,,
L1 to L2 evict data volume [GBytes],3.2883,,,,
L1 to/from L2 bandwidth [MBytes/s],18324.6105,,,,
L1 to/from L2 data volume [GBytes],696.1798,,,,
L3 to L2 load bandwidth [MBytes/s],17296.6262,,,,
L3 to L2 load data volume [GBytes],657.1251,,,,
L2 to L3 evict bandwidth [MBytes/s],77.1345,,,,
L2 to L3 evict data volume [GBytes],2.9305,,,,
L2 to/from L3 bandwidth [MBytes/s],17373.7607,,,,
L2 to/from L3 data volume [GBytes],660.0556,,,,
System to L3 bandwidth [MBytes/s],17349.8733,,,,
System to L3 data volume [GBytes],659.1481,,,,
L3 to system bandwidth [MBytes/s],70.0709,,,,
L3 to system data volume [GBytes],2.6621,,,,
L3 to/from system bandwidth [MBytes/s],17419.9442,,,,
L3 to/from system data volume [GBytes],661.8102,,,,
Memory read bandwidth [MBytes/s],8228.4232,,,,
Memory read data volume [GBytes],312.6103,,,,
Memory write bandwidth [MBytes/s],76.7846,,,,
Memory write data volume [GBytes],2.9172,,,,
Memory bandwidth [MBytes/s],8305.2078,,,,
Memory data volume [GBytes],315.5275,,,,
