Metric,Core 0,,,,
Runtime (RDTSC) [s],0.9834,,,,
Runtime unhalted [s],1.1650,,,,
Clock [MHz],3209.4336,,,,
CPI,0.3863,,,,
L2 to L1 load bandwidth [MBytes/s],41672.8891,,,,
L2 to L1 load data volume [GBytes],40.9809,,,,
L1 to L2 evict bandwidth [MBytes/s],286.1325,,,,
L1 to L2 evict data volume [GBytes],0.2814,,,,
L1 to/from L2 bandwidth [MBytes/s],41959.0216,,,,
L1 to/from L2 data volume [GBytes],41.2623,,,,
L3 to L2 load bandwidth [MBytes/s],24310.6984,,,,
L3 to L2 load data volume [GBytes],23.9070,,,,
L2 to L3 evict bandwidth [MBytes/s],231.6510,,,,
L2 to L3 evict data volume [GBytes],0.2278,,,,
L2 to/from L3 bandwidth [MBytes/s],24542.3494,,,,
L2 to/from L3 data volume [GBytes],24.1348,,,,
System to L3 bandwidth [MBytes/s],24217.7515,,,,
System to L3 data volume [GBytes],23.8156,,,,
L3 to system bandwidth [MBytes/s],273.4856,,,,
L3 to system data volume [GBytes],0.2689,,,,
L3 to/from system bandwidth [MBytes/s],24491.2371,,,,
L3 to/from system data volume [GBytes],24.0846,,,,
Memory read bandwidth [MBytes/s],451.9890,,,,
Memory read data volume [GBytes],0.4445,,,,
Memory write bandwidth [MBytes/s],280.0819,,,,
Memory write data volume [GBytes],0.2754,,,,
Memory bandwidth [MBytes/s],732.0709,,,,
Memory data volume [GBytes],0.7199,,,,
