Metric,Core 0,,,,
Runtime (RDTSC) [s],0.1157,,,,
Runtime unhalted [s],0.1083,,,,
Clock [MHz],2599.9644,,,,
CPI,0.4491,,,,
L2 to L1 load bandwidth [MBytes/s],28379.5542,,,,
L2 to L1 load data volume [GBytes],3.2836,,,,
L1 to L2 evict bandwidth [MBytes/s],398.1183,,,,
L1 to L2 evict data volume [GBytes],0.0461,,,,
L1 to/from L2 bandwidth [MBytes/s],28777.6724,,,,
L1 to/from L2 data volume [GBytes],3.3297,,,,
L3 to L2 load bandwidth [MBytes/s],16521.5989,,,,
L3 to L2 load data volume [GBytes],1.9116,,,,
L2 to L3 evict bandwidth [MBytes/s],301.1027,,,,
L2 to L3 evict data volume [GBytes],0.0348,,,,
L2 to/from L3 bandwidth [MBytes/s],16822.7016,,,,
L2 to/from L3 data volume [GBytes],1.9464,,,,
System to L3 bandwidth [MBytes/s],16416.1197,,,,
System to L3 data volume [GBytes],1.8994,,,,
L3 to system bandwidth [MBytes/s],118.0891,,,,
L3 to system data volume [GBytes],0.0137,,,,
L3 to/from system bandwidth [MBytes/s],16534.2089,,,,
L3 to/from system data volume [GBytes],1.9131,,,,
Memory read bandwidth [MBytes/s],104.9891,,,,
Memory read data volume [GBytes],0.0121,,,,
Memory write bandwidth [MBytes/s],122.5403,,,,
Memory write data volume [GBytes],0.0142,,,,
Memory bandwidth [MBytes/s],227.5293,,,,
Memory data volume [GBytes],0.0263,,,,
