Metric,Core 0,,,,
Runtime (RDTSC) [s],34.2116,,,,
Runtime unhalted [s],41.7690,,,,
Clock [MHz],3200.6772,,,,
CPI,0.9711,,,,
L2 to L1 load bandwidth [MBytes/s],16751.5653,,,,
L2 to L1 load data volume [GBytes],573.0987,,,,
L1 to L2 evict bandwidth [MBytes/s],81.4710,,,,
L1 to L2 evict data volume [GBytes],2.7873,,,,
L1 to/from L2 bandwidth [MBytes/s],16833.0362,,,,
L1 to/from L2 data volume [GBytes],575.8859,,,,
L3 to L2 load bandwidth [MBytes/s],16604.7072,,,,
L3 to L2 load data volume [GBytes],568.0744,,,,
L2 to L3 evict bandwidth [MBytes/s],76.4297,,,,
L2 to L3 evict data volume [GBytes],2.6148,,,,
L2 to/from L3 bandwidth [MBytes/s],16681.1369,,,,
L2 to/from L3 data volume [GBytes],570.6892,,,,
System to L3 bandwidth [MBytes/s],16658.2676,,,,
System to L3 data volume [GBytes],569.9068,,,,
L3 to system bandwidth [MBytes/s],68.2327,,,,
L3 to system data volume [GBytes],2.3344,,,,
L3 to/from system bandwidth [MBytes/s],16726.5004,,,,
L3 to/from system data volume [GBytes],572.2412,,,,
Memory read bandwidth [MBytes/s],8617.5595,,,,
Memory read data volume [GBytes],294.8209,,,,
Memory write bandwidth [MBytes/s],74.8208,,,,
Memory write data volume [GBytes],2.5597,,,,
Memory bandwidth [MBytes/s],8692.3803,,,,
Memory data volume [GBytes],297.3807,,,,
