Metric,Core 0,,,,
Runtime (RDTSC) [s],25.1794,,,,
Runtime unhalted [s],30.7060,,,,
Clock [MHz],3199.5390,,,,
CPI,1.0430,,,,
L2 to L1 load bandwidth [MBytes/s],15861.1689,,,,
L2 to L1 load data volume [GBytes],399.3744,,,,
L1 to L2 evict bandwidth [MBytes/s],53.0909,,,,
L1 to L2 evict data volume [GBytes],1.3368,,,,
L1 to/from L2 bandwidth [MBytes/s],15914.2598,,,,
L1 to/from L2 data volume [GBytes],400.7112,,,,
L3 to L2 load bandwidth [MBytes/s],15856.7539,,,,
L3 to L2 load data volume [GBytes],399.2632,,,,
L2 to L3 evict bandwidth [MBytes/s],52.8550,,,,
L2 to L3 evict data volume [GBytes],1.3309,,,,
L2 to/from L3 bandwidth [MBytes/s],15909.6089,,,,
L2 to/from L3 data volume [GBytes],400.5941,,,,
System to L3 bandwidth [MBytes/s],15931.2575,,,,
System to L3 data volume [GBytes],401.1392,,,,
L3 to system bandwidth [MBytes/s],47.3662,,,,
L3 to system data volume [GBytes],1.1927,,,,
L3 to/from system bandwidth [MBytes/s],15978.6238,,,,
L3 to/from system data volume [GBytes],402.3318,,,,
Memory read bandwidth [MBytes/s],9081.0380,,,,
Memory read data volume [GBytes],228.6549,,,,
Memory write bandwidth [MBytes/s],53.8073,,,,
Memory write data volume [GBytes],1.3548,,,,
Memory bandwidth [MBytes/s],9134.8453,,,,
Memory data volume [GBytes],230.0097,,,,
