Metric,Core 0,,,,
Runtime (RDTSC) [s],9.9931,,,,
Runtime unhalted [s],12.1565,,,,
Clock [MHz],3200.2957,,,,
CPI,1.0433,,,,
L2 to L1 load bandwidth [MBytes/s],15825.4400,,,,
L2 to L1 load data volume [GBytes],158.1456,,,,
L1 to L2 evict bandwidth [MBytes/s],71.2172,,,,
L1 to L2 evict data volume [GBytes],0.7117,,,,
L1 to/from L2 bandwidth [MBytes/s],15896.6571,,,,
L1 to/from L2 data volume [GBytes],158.8573,,,,
L3 to L2 load bandwidth [MBytes/s],15642.8825,,,,
L3 to L2 load data volume [GBytes],156.3213,,,,
L2 to L3 evict bandwidth [MBytes/s],70.4955,,,,
L2 to L3 evict data volume [GBytes],0.7045,,,,
L2 to/from L3 bandwidth [MBytes/s],15713.3780,,,,
L2 to/from L3 data volume [GBytes],157.0258,,,,
System to L3 bandwidth [MBytes/s],15705.0884,,,,
System to L3 data volume [GBytes],156.9429,,,,
L3 to system bandwidth [MBytes/s],65.4831,,,,
L3 to system data volume [GBytes],0.6544,,,,
L3 to/from system bandwidth [MBytes/s],15770.5715,,,,
L3 to/from system data volume [GBytes],157.5973,,,,
Memory read bandwidth [MBytes/s],9024.9477,,,,
Memory read data volume [GBytes],90.1874,,,,
Memory write bandwidth [MBytes/s],71.9195,,,,
Memory write data volume [GBytes],0.7187,,,,
Memory bandwidth [MBytes/s],9096.8672,,,,
Memory data volume [GBytes],90.9061,,,,
