Metric,Core 0,,,,
Runtime (RDTSC) [s],4.4873,,,,
Runtime unhalted [s],5.4342,,,,
Clock [MHz],3200.6990,,,,
CPI,0.8512,,,,
L2 to L1 load bandwidth [MBytes/s],19317.9848,,,,
L2 to L1 load data volume [GBytes],86.6856,,,,
L1 to L2 evict bandwidth [MBytes/s],105.3187,,,,
L1 to L2 evict data volume [GBytes],0.4726,,,,
L1 to/from L2 bandwidth [MBytes/s],19423.3036,,,,
L1 to/from L2 data volume [GBytes],87.1582,,,,
L3 to L2 load bandwidth [MBytes/s],13647.1150,,,,
L3 to L2 load data volume [GBytes],61.2387,,,,
L2 to L3 evict bandwidth [MBytes/s],86.2429,,,,
L2 to L3 evict data volume [GBytes],0.3870,,,,
L2 to/from L3 bandwidth [MBytes/s],13733.3579,,,,
L2 to/from L3 data volume [GBytes],61.6257,,,,
System to L3 bandwidth [MBytes/s],13655.8091,,,,
System to L3 data volume [GBytes],61.2777,,,,
L3 to system bandwidth [MBytes/s],98.3480,,,,
L3 to system data volume [GBytes],0.4413,,,,
L3 to/from system bandwidth [MBytes/s],13754.1571,,,,
L3 to/from system data volume [GBytes],61.7191,,,,
Memory read bandwidth [MBytes/s],7992.6812,,,,
Memory read data volume [GBytes],35.8656,,,,
Memory write bandwidth [MBytes/s],104.9061,,,,
Memory write data volume [GBytes],0.4707,,,,
Memory bandwidth [MBytes/s],8097.5873,,,,
Memory data volume [GBytes],36.3363,,,,
