Metric,Core 0,,,,
Runtime (RDTSC) [s],7.2249,,,,
Runtime unhalted [s],8.7865,,,,
Clock [MHz],3201.5723,,,,
CPI,1.0035,,,,
L2 to L1 load bandwidth [MBytes/s],16453.3659,,,,
L2 to L1 load data volume [GBytes],118.8738,,,,
L1 to L2 evict bandwidth [MBytes/s],81.2877,,,,
L1 to L2 evict data volume [GBytes],0.5873,,,,
L1 to/from L2 bandwidth [MBytes/s],16534.6536,,,,
L1 to/from L2 data volume [GBytes],119.4611,,,,
L3 to L2 load bandwidth [MBytes/s],14975.4000,,,,
L3 to L2 load data volume [GBytes],108.1956,,,,
L2 to L3 evict bandwidth [MBytes/s],69.8674,,,,
L2 to L3 evict data volume [GBytes],0.5048,,,,
L2 to/from L3 bandwidth [MBytes/s],15045.2674,,,,
L2 to/from L3 data volume [GBytes],108.7004,,,,
System to L3 bandwidth [MBytes/s],15021.2788,,,,
System to L3 data volume [GBytes],108.5271,,,,
L3 to system bandwidth [MBytes/s],73.7461,,,,
L3 to system data volume [GBytes],0.5328,,,,
L3 to/from system bandwidth [MBytes/s],15095.0249,,,,
L3 to/from system data volume [GBytes],109.0599,,,,
Memory read bandwidth [MBytes/s],9033.1499,,,,
Memory read data volume [GBytes],65.2635,,,,
Memory write bandwidth [MBytes/s],80.3632,,,,
Memory write data volume [GBytes],0.5806,,,,
Memory bandwidth [MBytes/s],9113.5131,,,,
Memory data volume [GBytes],65.8441,,,,
