Metric,Core 0,,,,
Runtime (RDTSC) [s],42.6947,,,,
Runtime unhalted [s],52.1862,,,,
Clock [MHz],3200.9180,,,,
CPI,0.8703,,,,
L2 to L1 load bandwidth [MBytes/s],19082.3739,,,,
L2 to L1 load data volume [GBytes],814.7168,,,,
L1 to L2 evict bandwidth [MBytes/s],85.7925,,,,
L1 to L2 evict data volume [GBytes],3.6629,,,,
L1 to/from L2 bandwidth [MBytes/s],19168.1664,,,,
L1 to/from L2 data volume [GBytes],818.3797,,,,
L3 to L2 load bandwidth [MBytes/s],17731.2975,,,,
L3 to L2 load data volume [GBytes],757.0330,,,,
L2 to L3 evict bandwidth [MBytes/s],76.5920,,,,
L2 to L3 evict data volume [GBytes],3.2701,,,,
L2 to/from L3 bandwidth [MBytes/s],17807.8895,,,,
L2 to/from L3 data volume [GBytes],760.3030,,,,
System to L3 bandwidth [MBytes/s],17781.6464,,,,
System to L3 data volume [GBytes],759.1826,,,,
L3 to system bandwidth [MBytes/s],69.7527,,,,
L3 to system data volume [GBytes],2.9781,,,,
L3 to/from system bandwidth [MBytes/s],17851.3991,,,,
L3 to/from system data volume [GBytes],762.1607,,,,
Memory read bandwidth [MBytes/s],7763.5451,,,,
Memory read data volume [GBytes],331.4625,,,,
Memory write bandwidth [MBytes/s],76.3559,,,,
Memory write data volume [GBytes],3.2600,,,,
Memory bandwidth [MBytes/s],7839.9011,,,,
Memory data volume [GBytes],334.7225,,,,
