Metric,Core 0,,,,
Runtime (RDTSC) [s],0.2238,,,,
Runtime unhalted [s],0.2375,,,,
Clock [MHz],2921.7379,,,,
CPI,0.4177,,,,
L2 to L1 load bandwidth [MBytes/s],34613.3818,,,,
L2 to L1 load data volume [GBytes],7.7482,,,,
L1 to L2 evict bandwidth [MBytes/s],396.9367,,,,
L1 to L2 evict data volume [GBytes],0.0889,,,,
L1 to/from L2 bandwidth [MBytes/s],35010.3186,,,,
L1 to/from L2 data volume [GBytes],7.8370,,,,
L3 to L2 load bandwidth [MBytes/s],20107.4480,,,,
L3 to L2 load data volume [GBytes],4.5010,,,,
L2 to L3 evict bandwidth [MBytes/s],307.3101,,,,
L2 to L3 evict data volume [GBytes],0.0688,,,,
L2 to/from L3 bandwidth [MBytes/s],20414.7582,,,,
L2 to/from L3 data volume [GBytes],4.5698,,,,
System to L3 bandwidth [MBytes/s],19981.1698,,,,
System to L3 data volume [GBytes],4.4728,,,,
L3 to system bandwidth [MBytes/s],331.0822,,,,
L3 to system data volume [GBytes],0.0741,,,,
L3 to/from system bandwidth [MBytes/s],20312.2520,,,,
L3 to/from system data volume [GBytes],4.5469,,,,
Memory read bandwidth [MBytes/s],435.2775,,,,
Memory read data volume [GBytes],0.0974,,,,
Memory write bandwidth [MBytes/s],337.8742,,,,
Memory write data volume [GBytes],0.0756,,,,
Memory bandwidth [MBytes/s],773.1518,,,,
Memory data volume [GBytes],0.1731,,,,
