Metric,Core 0,,,,
Runtime (RDTSC) [s],0.6258,,,,
Runtime unhalted [s],0.7332,,,,
Clock [MHz],3202.4504,,,,
CPI,0.3857,,,,
L2 to L1 load bandwidth [MBytes/s],41331.6835,,,,
L2 to L1 load data volume [GBytes],25.8639,,,,
L1 to L2 evict bandwidth [MBytes/s],326.9388,,,,
L1 to L2 evict data volume [GBytes],0.2046,,,,
L1 to/from L2 bandwidth [MBytes/s],41658.6223,,,,
L1 to/from L2 data volume [GBytes],26.0685,,,,
L3 to L2 load bandwidth [MBytes/s],24031.6809,,,,
L3 to L2 load data volume [GBytes],15.0382,,,,
L2 to L3 evict bandwidth [MBytes/s],264.7021,,,,
L2 to L3 evict data volume [GBytes],0.1656,,,,
L2 to/from L3 bandwidth [MBytes/s],24296.3830,,,,
L2 to/from L3 data volume [GBytes],15.2038,,,,
System to L3 bandwidth [MBytes/s],23955.2734,,,,
System to L3 data volume [GBytes],14.9904,,,,
L3 to system bandwidth [MBytes/s],315.7626,,,,
L3 to system data volume [GBytes],0.1976,,,,
L3 to/from system bandwidth [MBytes/s],24271.0360,,,,
L3 to/from system data volume [GBytes],15.1880,,,,
Memory read bandwidth [MBytes/s],457.3627,,,,
Memory read data volume [GBytes],0.2862,,,,
Memory write bandwidth [MBytes/s],321.6302,,,,
Memory write data volume [GBytes],0.2013,,,,
Memory bandwidth [MBytes/s],778.9929,,,,
Memory data volume [GBytes],0.4875,,,,
