Metric,Core 0,,,,
Runtime (RDTSC) [s],0.0105,,,,
Runtime unhalted [s],0.0036,,,,
Clock [MHz],1199.9876,,,,
CPI,0.3759,,,,
L2 to L1 load bandwidth [MBytes/s],7702.9950,,,,
L2 to L1 load data volume [GBytes],0.0811,,,,
L1 to L2 evict bandwidth [MBytes/s],299.0407,,,,
L1 to L2 evict data volume [GBytes],0.0031,,,,
L1 to/from L2 bandwidth [MBytes/s],8002.0357,,,,
L1 to/from L2 data volume [GBytes],0.0843,,,,
L3 to L2 load bandwidth [MBytes/s],6573.8692,,,,
L3 to L2 load data volume [GBytes],0.0692,,,,
L2 to L3 evict bandwidth [MBytes/s],254.7789,,,,
L2 to L3 evict data volume [GBytes],0.0027,,,,
L2 to/from L3 bandwidth [MBytes/s],6828.6480,,,,
L2 to/from L3 data volume [GBytes],0.0719,,,,
System to L3 bandwidth [MBytes/s],6561.0294,,,,
System to L3 data volume [GBytes],0.0691,,,,
L3 to system bandwidth [MBytes/s],142.7875,,,,
L3 to system data volume [GBytes],0.0015,,,,
L3 to/from system bandwidth [MBytes/s],6703.8169,,,,
L3 to/from system data volume [GBytes],0.0706,,,,
Memory read bandwidth [MBytes/s],36.2225,,,,
Memory read data volume [GBytes],0.0004,,,,
Memory write bandwidth [MBytes/s],146.3484,,,,
Memory write data volume [GBytes],0.0015,,,,
Memory bandwidth [MBytes/s],182.5708,,,,
Memory data volume [GBytes],0.0019,,,,
