Metric,Core 0,,,,
Runtime (RDTSC) [s],16.4792,,,,
Runtime unhalted [s],20.0795,,,,
Clock [MHz],3200.2660,,,,
CPI,1.0462,,,,
L2 to L1 load bandwidth [MBytes/s],15802.8103,,,,
L2 to L1 load data volume [GBytes],260.4183,,,,
L1 to L2 evict bandwidth [MBytes/s],60.8437,,,,
L1 to L2 evict data volume [GBytes],1.0027,,,,
L1 to/from L2 bandwidth [MBytes/s],15863.6540,,,,
L1 to/from L2 data volume [GBytes],261.4210,,,,
L3 to L2 load bandwidth [MBytes/s],15773.9119,,,,
L3 to L2 load data volume [GBytes],259.9421,,,,
L2 to L3 evict bandwidth [MBytes/s],60.5449,,,,
L2 to L3 evict data volume [GBytes],0.9977,,,,
L2 to/from L3 bandwidth [MBytes/s],15834.4568,,,,
L2 to/from L3 data volume [GBytes],260.9398,,,,
System to L3 bandwidth [MBytes/s],15844.7509,,,,
System to L3 data volume [GBytes],261.1095,,,,
L3 to system bandwidth [MBytes/s],54.7049,,,,
L3 to system data volume [GBytes],0.9015,,,,
L3 to/from system bandwidth [MBytes/s],15899.4558,,,,
L3 to/from system data volume [GBytes],262.0109,,,,
Memory read bandwidth [MBytes/s],9049.7063,,,,
Memory read data volume [GBytes],149.1323,,,,
Memory write bandwidth [MBytes/s],61.1653,,,,
Memory write data volume [GBytes],1.0080,,,,
Memory bandwidth [MBytes/s],9110.8716,,,,
Memory data volume [GBytes],150.1402,,,,
