Metric,Core 0,,,,
Runtime (RDTSC) [s],52.4313,,,,
Runtime unhalted [s],64.1527,,,,
Clock [MHz],3201.1047,,,,
CPI,0.9173,,,,
L2 to L1 load bandwidth [MBytes/s],18125.3060,,,,
L2 to L1 load data volume [GBytes],950.3341,,,,
L1 to L2 evict bandwidth [MBytes/s],77.4829,,,,
L1 to L2 evict data volume [GBytes],4.0625,,,,
L1 to/from L2 bandwidth [MBytes/s],18202.7889,,,,
L1 to/from L2 data volume [GBytes],954.3966,,,,
L3 to L2 load bandwidth [MBytes/s],16519.0972,,,,
L3 to L2 load data volume [GBytes],866.1184,,,,
L2 to L3 evict bandwidth [MBytes/s],69.1213,,,,
L2 to L3 evict data volume [GBytes],3.6241,,,,
L2 to/from L3 bandwidth [MBytes/s],16588.2185,,,,
L2 to/from L3 data volume [GBytes],869.7425,,,,
System to L3 bandwidth [MBytes/s],16562.5143,,,,
System to L3 data volume [GBytes],868.3948,,,,
L3 to system bandwidth [MBytes/s],63.5622,,,,
L3 to system data volume [GBytes],3.3327,,,,
L3 to/from system bandwidth [MBytes/s],16626.0764,,,,
L3 to/from system data volume [GBytes],871.7275,,,,
Memory read bandwidth [MBytes/s],7621.8097,,,,
Memory read data volume [GBytes],399.6217,,,,
Memory write bandwidth [MBytes/s],70.1413,,,,
Memory write data volume [GBytes],3.6776,,,,
Memory bandwidth [MBytes/s],7691.9510,,,,
Memory data volume [GBytes],403.2993,,,,
