Metric,Core 0,,,,
Runtime (RDTSC) [s],12.9610,,,,
Runtime unhalted [s],15.7940,,,,
Clock [MHz],3201.1581,,,,
CPI,1.0463,,,,
L2 to L1 load bandwidth [MBytes/s],15807.5672,,,,
L2 to L1 load data volume [GBytes],204.8811,,,,
L1 to L2 evict bandwidth [MBytes/s],65.6870,,,,
L1 to L2 evict data volume [GBytes],0.8514,,,,
L1 to/from L2 bandwidth [MBytes/s],15873.2542,,,,
L1 to/from L2 data volume [GBytes],205.7325,,,,
L3 to L2 load bandwidth [MBytes/s],15781.8901,,,,
L3 to L2 load data volume [GBytes],204.5483,,,,
L2 to L3 evict bandwidth [MBytes/s],65.1709,,,,
L2 to L3 evict data volume [GBytes],0.8447,,,,
L2 to/from L3 bandwidth [MBytes/s],15847.0610,,,,
L2 to/from L3 data volume [GBytes],205.3930,,,,
System to L3 bandwidth [MBytes/s],15838.4479,,,,
System to L3 data volume [GBytes],205.2813,,,,
L3 to system bandwidth [MBytes/s],58.4551,,,,
L3 to system data volume [GBytes],0.7576,,,,
L3 to/from system bandwidth [MBytes/s],15896.9029,,,,
L3 to/from system data volume [GBytes],206.0390,,,,
Memory read bandwidth [MBytes/s],9049.8364,,,,
Memory read data volume [GBytes],117.2945,,,,
Memory write bandwidth [MBytes/s],65.0479,,,,
Memory write data volume [GBytes],0.8431,,,,
Memory bandwidth [MBytes/s],9114.8843,,,,
Memory data volume [GBytes],118.1376,,,,
