Metric,Core 0,,,,
Runtime (RDTSC) [s],20.5396,,,,
Runtime unhalted [s],25.0547,,,,
Clock [MHz],3200.2265,,,,
CPI,1.0450,,,,
L2 to L1 load bandwidth [MBytes/s],15835.6982,,,,
L2 to L1 load data volume [GBytes],325.2584,,,,
L1 to L2 evict bandwidth [MBytes/s],56.5083,,,,
L1 to L2 evict data volume [GBytes],1.1607,,,,
L1 to/from L2 bandwidth [MBytes/s],15892.2065,,,,
L1 to/from L2 data volume [GBytes],326.4191,,,,
L3 to L2 load bandwidth [MBytes/s],15805.3583,,,,
L3 to L2 load data volume [GBytes],324.6353,,,,
L2 to L3 evict bandwidth [MBytes/s],56.1486,,,,
L2 to L3 evict data volume [GBytes],1.1533,,,,
L2 to/from L3 bandwidth [MBytes/s],15861.5069,,,,
L2 to/from L3 data volume [GBytes],325.7885,,,,
System to L3 bandwidth [MBytes/s],15865.3174,,,,
System to L3 data volume [GBytes],325.8668,,,,
L3 to system bandwidth [MBytes/s],49.9504,,,,
L3 to system data volume [GBytes],1.0260,,,,
L3 to/from system bandwidth [MBytes/s],15915.2678,,,,
L3 to/from system data volume [GBytes],326.8928,,,,
Memory read bandwidth [MBytes/s],9063.6460,,,,
Memory read data volume [GBytes],186.1634,,,,
Memory write bandwidth [MBytes/s],56.4979,,,,
Memory write data volume [GBytes],1.1604,,,,
Memory bandwidth [MBytes/s],9120.1439,,,,
Memory data volume [GBytes],187.3238,,,,
