Metric,Core 0,,,,
Runtime (RDTSC) [s],30.6920,,,,
Runtime unhalted [s],37.4509,,,,
Clock [MHz],3201.1179,,,,
CPI,1.0443,,,,
L2 to L1 load bandwidth [MBytes/s],15821.9327,,,,
L2 to L1 load data volume [GBytes],485.6072,,,,
L1 to L2 evict bandwidth [MBytes/s],75.8536,,,,
L1 to L2 evict data volume [GBytes],2.3281,,,,
L1 to/from L2 bandwidth [MBytes/s],15897.7863,,,,
L1 to/from L2 data volume [GBytes],487.9353,,,,
L3 to L2 load bandwidth [MBytes/s],15783.1619,,,,
L3 to L2 load data volume [GBytes],484.4173,,,,
L2 to L3 evict bandwidth [MBytes/s],73.6717,,,,
L2 to L3 evict data volume [GBytes],2.2611,,,,
L2 to/from L3 bandwidth [MBytes/s],15856.8336,,,,
L2 to/from L3 data volume [GBytes],486.6784,,,,
System to L3 bandwidth [MBytes/s],15850.1640,,,,
System to L3 data volume [GBytes],486.4737,,,,
L3 to system bandwidth [MBytes/s],70.6775,,,,
L3 to system data volume [GBytes],2.1692,,,,
L3 to/from system bandwidth [MBytes/s],15920.8415,,,,
L3 to/from system data volume [GBytes],488.6429,,,,
Memory read bandwidth [MBytes/s],9053.7454,,,,
Memory read data volume [GBytes],277.8778,,,,
Memory write bandwidth [MBytes/s],77.1183,,,,
Memory write data volume [GBytes],2.3669,,,,
Memory bandwidth [MBytes/s],9130.8636,,,,
Memory data volume [GBytes],280.2447,,,,
