Metric,Core 0,,,,
Runtime (RDTSC) [s],2.5662,,,,
Runtime unhalted [s],3.0958,,,,
Clock [MHz],3204.6730,,,,
CPI,0.6882,,,,
L2 to L1 load bandwidth [MBytes/s],23825.3656,,,,
L2 to L1 load data volume [GBytes],61.1396,,,,
L1 to L2 evict bandwidth [MBytes/s],144.3872,,,,
L1 to L2 evict data volume [GBytes],0.3705,,,,
L1 to/from L2 bandwidth [MBytes/s],23969.7528,,,,
L1 to/from L2 data volume [GBytes],61.5101,,,,
L3 to L2 load bandwidth [MBytes/s],14029.8222,,,,
L3 to L2 load data volume [GBytes],36.0027,,,,
L2 to L3 evict bandwidth [MBytes/s],117.1086,,,,
L2 to L3 evict data volume [GBytes],0.3005,,,,
L2 to/from L3 bandwidth [MBytes/s],14146.9308,,,,
L2 to/from L3 data volume [GBytes],36.3032,,,,
System to L3 bandwidth [MBytes/s],13972.5646,,,,
System to L3 data volume [GBytes],35.8558,,,,
L3 to system bandwidth [MBytes/s],136.7145,,,,
L3 to system data volume [GBytes],0.3508,,,,
L3 to/from system bandwidth [MBytes/s],14109.2792,,,,
L3 to/from system data volume [GBytes],36.2066,,,,
Memory read bandwidth [MBytes/s],3607.9164,,,,
Memory read data volume [GBytes],9.2585,,,,
Memory write bandwidth [MBytes/s],143.2747,,,,
Memory write data volume [GBytes],0.3677,,,,
Memory bandwidth [MBytes/s],3751.1911,,,,
Memory data volume [GBytes],9.6261,,,,
