Metric,Core 0,,,,
Runtime (RDTSC) [s],0.0448,,,,
Runtime unhalted [s],0.0402,,,,
Clock [MHz],2599.9739,,,,
CPI,0.5506,,,,
L2 to L1 load bandwidth [MBytes/s],22212.6471,,,,
L2 to L1 load data volume [GBytes],0.9951,,,,
L1 to L2 evict bandwidth [MBytes/s],418.6838,,,,
L1 to L2 evict data volume [GBytes],0.0188,,,,
L1 to/from L2 bandwidth [MBytes/s],22631.3309,,,,
L1 to/from L2 data volume [GBytes],1.0139,,,,
L3 to L2 load bandwidth [MBytes/s],12976.8508,,,,
L3 to L2 load data volume [GBytes],0.5814,,,,
L2 to L3 evict bandwidth [MBytes/s],305.9065,,,,
L2 to L3 evict data volume [GBytes],0.0137,,,,
L2 to/from L3 bandwidth [MBytes/s],13282.7574,,,,
L2 to/from L3 data volume [GBytes],0.5951,,,,
System to L3 bandwidth [MBytes/s],12893.0875,,,,
System to L3 data volume [GBytes],0.5776,,,,
L3 to system bandwidth [MBytes/s],78.9248,,,,
L3 to system data volume [GBytes],0.0035,,,,
L3 to/from system bandwidth [MBytes/s],12972.0123,,,,
L3 to/from system data volume [GBytes],0.5812,,,,
Memory read bandwidth [MBytes/s],25.8054,,,,
Memory read data volume [GBytes],0.0012,,,,
Memory write bandwidth [MBytes/s],83.2033,,,,
Memory write data volume [GBytes],0.0037,,,,
Memory bandwidth [MBytes/s],109.0088,,,,
Memory data volume [GBytes],0.0049,,,,
