Metric,Core 0,,,,
Runtime (RDTSC) [s],53.7861,,,,
Runtime unhalted [s],65.9662,,,,
Clock [MHz],3198.2751,,,,
CPI,1.4509,,,,
Cycles without execution [%],58.8753,,,,
Cycles without execution due to L1D [%],58.4324,,,,
Cycles without execution due to L2 [%],57.8792,,,,
Cycles without execution due to memory [%],58.6240,,,,
