Metric,Core 0,,,,
Runtime (RDTSC) [s],2.2499,,,,
Runtime unhalted [s],2.7619,,,,
Clock [MHz],3197.9960,,,,
CPI,0.6405,,,,
Cycles without execution [%],19.6655,,,,
Cycles without execution due to L1D [%],16.9911,,,,
Cycles without execution due to L2 [%],11.6478,,,,
Cycles without execution due to memory [%],19.6259,,,,
