Metric,Core 0,,,,
Runtime (RDTSC) [s],39.3090,,,,
Runtime unhalted [s],48.1370,,,,
Clock [MHz],3194.9671,,,,
CPI,1.4080,,,,
L2 to L1 load bandwidth [MBytes/s],20459.6914,,,,
L2 to L1 load data volume [GBytes],804.2496,,,,
L1 to L2 evict bandwidth [MBytes/s],10098.7050,,,,
L1 to L2 evict data volume [GBytes],396.9698,,,,
L1 to/from L2 bandwidth [MBytes/s],30558.3964,,,,
L1 to/from L2 data volume [GBytes],1201.2194,,,,
L3 to L2 load bandwidth [MBytes/s],10218.1948,,,,
L3 to L2 load data volume [GBytes],401.6668,,,,
L2 to L3 evict bandwidth [MBytes/s],5.5004,,,,
L2 to L3 evict data volume [GBytes],0.2162,,,,
L2 to/from L3 bandwidth [MBytes/s],10223.6952,,,,
L2 to/from L3 data volume [GBytes],401.8830,,,,
System to L3 bandwidth [MBytes/s],10359.2976,,,,
System to L3 data volume [GBytes],407.2134,,,,
L3 to system bandwidth [MBytes/s],8.2763,,,,
L3 to system data volume [GBytes],0.3253,,,,
L3 to/from system bandwidth [MBytes/s],10367.5739,,,,
L3 to/from system data volume [GBytes],407.5388,,,,
Memory read bandwidth [MBytes/s],9411.5639,,,,
Memory read data volume [GBytes],369.9590,,,,
Memory write bandwidth [MBytes/s],14.5436,,,,
Memory write data volume [GBytes],0.5717,,,,
Memory bandwidth [MBytes/s],9426.1075,,,,
Memory data volume [GBytes],370.5307,,,,
