Metric,Core 0,,,,
Runtime (RDTSC) [s],0.2188,,,,
Runtime unhalted [s],0.2185,,,,
Clock [MHz],2599.9876,,,,
CPI,0.7708,,,,
L2 to L1 load bandwidth [MBytes/s],14745.8312,,,,
L2 to L1 load data volume [GBytes],3.2268,,,,
L1 to L2 evict bandwidth [MBytes/s],30.3262,,,,
L1 to L2 evict data volume [GBytes],0.0066,,,,
L1 to/from L2 bandwidth [MBytes/s],14776.1573,,,,
L1 to/from L2 data volume [GBytes],3.2334,,,,
L3 to L2 load bandwidth [MBytes/s],14791.7869,,,,
L3 to L2 load data volume [GBytes],3.2368,,,,
L2 to L3 evict bandwidth [MBytes/s],1.5881,,,,
L2 to L3 evict data volume [GBytes],0.0003,,,,
L2 to/from L3 bandwidth [MBytes/s],14793.3750,,,,
L2 to/from L3 data volume [GBytes],3.2372,,,,
System to L3 bandwidth [MBytes/s],14801.6791,,,,
System to L3 data volume [GBytes],3.2390,,,,
L3 to system bandwidth [MBytes/s],0.1345,,,,
L3 to system data volume [GBytes],2.944000e-05,,,,
L3 to/from system bandwidth [MBytes/s],14801.8136,,,,
L3 to/from system data volume [GBytes],3.2390,,,,
Memory read bandwidth [MBytes/s],7.5100,,,,
Memory read data volume [GBytes],0.0016,,,,
Memory write bandwidth [MBytes/s],6.9619,,,,
Memory write data volume [GBytes],0.0015,,,,
Memory bandwidth [MBytes/s],14.4720,,,,
Memory data volume [GBytes],0.0032,,,,
