Metric,Core 0,,,,
Runtime (RDTSC) [s],53.9858,,,,
Runtime unhalted [s],66.2091,,,,
Clock [MHz],3198.1427,,,,
CPI,1.4562,,,,
L2 to L1 load bandwidth [MBytes/s],19954.1368,,,,
L2 to L1 load data volume [GBytes],1077.2390,,,,
L1 to L2 evict bandwidth [MBytes/s],9926.4654,,,,
L1 to L2 evict data volume [GBytes],535.8877,,,,
L1 to/from L2 bandwidth [MBytes/s],29880.6022,,,,
L1 to/from L2 data volume [GBytes],1613.1267,,,,
L3 to L2 load bandwidth [MBytes/s],9862.6145,,,,
L3 to L2 load data volume [GBytes],532.4406,,,,
L2 to L3 evict bandwidth [MBytes/s],4.5243,,,,
L2 to L3 evict data volume [GBytes],0.2442,,,,
L2 to/from L3 bandwidth [MBytes/s],9867.1388,,,,
L2 to/from L3 data volume [GBytes],532.6849,,,,
System to L3 bandwidth [MBytes/s],10010.1330,,,,
System to L3 data volume [GBytes],540.4045,,,,
L3 to system bandwidth [MBytes/s],6.3662,,,,
L3 to system data volume [GBytes],0.3437,,,,
L3 to/from system bandwidth [MBytes/s],10016.4992,,,,
L3 to/from system data volume [GBytes],540.7482,,,,
Memory read bandwidth [MBytes/s],9849.1946,,,,
Memory read data volume [GBytes],531.7162,,,,
Memory write bandwidth [MBytes/s],12.9049,,,,
Memory write data volume [GBytes],0.6967,,,,
Memory bandwidth [MBytes/s],9862.0996,,,,
Memory data volume [GBytes],532.4128,,,,
