Metric,Core 0,,,,
Runtime (RDTSC) [s],6.3603,,,,
Runtime unhalted [s],7.8040,,,,
Clock [MHz],3197.5448,,,,
CPI,0.6629,,,,
L2 to L1 load bandwidth [MBytes/s],21871.3287,,,,
L2 to L1 load data volume [GBytes],139.1078,,,,
L1 to L2 evict bandwidth [MBytes/s],80.9797,,,,
L1 to L2 evict data volume [GBytes],0.5151,,,,
L1 to/from L2 bandwidth [MBytes/s],21952.3084,,,,
L1 to/from L2 data volume [GBytes],139.6229,,,,
L3 to L2 load bandwidth [MBytes/s],21831.2399,,,,
L3 to L2 load data volume [GBytes],138.8529,,,,
L2 to L3 evict bandwidth [MBytes/s],11.2962,,,,
L2 to L3 evict data volume [GBytes],0.0718,,,,
L2 to/from L3 bandwidth [MBytes/s],21842.5361,,,,
L2 to/from L3 data volume [GBytes],138.9247,,,,
System to L3 bandwidth [MBytes/s],21845.9592,,,,
System to L3 data volume [GBytes],138.9465,,,,
L3 to system bandwidth [MBytes/s],17.4632,,,,
L3 to system data volume [GBytes],0.1111,,,,
L3 to/from system bandwidth [MBytes/s],21863.4224,,,,
L3 to/from system data volume [GBytes],139.0576,,,,
Memory read bandwidth [MBytes/s],157.8335,,,,
Memory read data volume [GBytes],1.0039,,,,
Memory write bandwidth [MBytes/s],24.2010,,,,
Memory write data volume [GBytes],0.1539,,,,
Memory bandwidth [MBytes/s],182.0345,,,,
Memory data volume [GBytes],1.1578,,,,
